lr,n_window,epoch,dsName,currepoch,MSE
0.01,5,5,smtp,0,0.028691277047119445
0.01,5,5,smtp,0,0.028691277047119445
0.01,5,5,smtp,1,0.027266905273996635
0.01,5,5,smtp,2,0.027103253650693545
0.01,5,5,smtp,3,0.02702221723800733
0.01,5,5,smtp,4,0.02696421129957852
0.01,10,5,smtp,0,0.02386055879081548
0.01,10,5,smtp,1,0.013248342814527522
0.01,10,5,smtp,2,0.012831994118658329
0.01,10,5,smtp,3,0.012555307796011855
0.01,10,5,smtp,4,0.01236114350830257
0.001,5,5,smtp,0,0.029141017717819802
0.001,5,5,smtp,1,0.023194954251833988
0.001,5,5,smtp,2,0.020827826401041832
0.001,5,5,smtp,3,0.019747254528194275
0.001,5,5,smtp,4,0.019264345511046756
0.001,10,5,smtp,0,0.029622790154293543
0.001,10,5,smtp,1,0.021585843806971407
0.001,10,5,smtp,2,0.019608332713531018
0.001,10,5,smtp,3,0.018778644356916056
0.001,10,5,smtp,4,0.018313703666069887
0.0001,5,5,smtp,0,0.03550239877377843
0.0001,5,5,smtp,1,0.030941466191894383
0.0001,5,5,smtp,2,0.030399002481476808
0.0001,5,5,smtp,3,0.030107312689378184
0.0001,5,5,smtp,4,0.029803786550185677
0.0001,10,5,smtp,0,0.036286355566166724
0.0001,10,5,smtp,1,0.031097442235273637
0.0001,10,5,smtp,2,0.03089608187772492
0.0001,10,5,smtp,3,0.030707619132091083
0.0001,10,5,smtp,4,0.030546714099014834
0.1,5,5,smtp,0,0.03803395365808556
0.1,5,5,smtp,1,0.2842924151360828
0.1,5,5,smtp,2,0.34665529575102816
0.1,5,5,smtp,3,0.34665529575102816
0.1,5,5,smtp,4,0.34665529575102816
0.1,10,5,smtp,0,0.03892378697216757
0.1,10,5,smtp,1,0.03488686086715305
0.1,10,5,smtp,2,0.03461353733525988
0.1,10,5,smtp,3,0.03430064404485814
0.1,10,5,smtp,4,0.03448164962346381
0.15,5,5,smtp,0,0.2675649030199539
0.15,5,5,smtp,1,0.27574586989837524
0.15,5,5,smtp,2,0.27574586989837524
0.15,5,5,smtp,3,0.27574586989837524
0.15,5,5,smtp,4,0.27574586989837524
0.15,10,5,smtp,0,0.04527452099473232
0.15,10,5,smtp,1,0.2522468430467771
0.15,10,5,smtp,2,0.33483995214535683
