lr,beta,n_latent,epoch,dsName,currepoch,MSE,KLD
0.01,0.01,8,5,dlr,0,0.0009058806617971077,4.838459416664395e-05
0.01,0.01,8,5,dlr,1,0.0007860576596091027,9.398813625590353e-05
0.01,0.01,8,5,dlr,2,0.0006927160048013501,6.387651456831244e-05
0.01,0.01,8,5,dlr,3,0.0008001467610664164,0.00021307860319653415
0.01,0.01,8,5,dlr,4,0.000920855610004616,0.00018920480803112912
0.01,0.01,8,10,dlr,0,0.0009313969944896393,4.8460914773151414e-05
0.01,0.01,8,10,dlr,1,0.0007611461408004306,0.00014984895758102343
0.01,0.01,8,10,dlr,2,0.0009028685740464263,0.00027626115629297214
0.01,0.01,8,10,dlr,3,0.0010372905013341985,0.0001435295789944318
0.01,0.01,8,5,dlr,0,0.0009058806617971077,4.838459416664395e-05
0.01,0.01,8,5,dlr,1,0.0007860576596091027,9.398813625590353e-05
0.01,0.01,8,5,dlr,2,0.0006927160048013501,6.387651456831244e-05
0.01,0.01,8,5,dlr,3,0.0008001467610664164,0.00021307860319653415
0.01,0.01,8,5,dlr,4,0.000920855610004616,0.00018920480803112912
0.01,0.001,8,5,dlr,0,0.0009507949586824366,5.7883392693194986e-05
0.01,0.001,8,5,dlr,1,0.000930995246223868,0.00020124597134514209
0.01,0.001,8,5,dlr,2,0.0007827731614163306,4.5123333564479127e-05
0.01,0.001,8,5,dlr,3,0.001795868633601571,0.0025549865180787426
0.01,0.001,8,5,dlr,4,0.0008680547336816325,0.0001565014396100789
0.01,0.005,8,5,dlr,0,0.001055179110620069,7.793065185125213e-05
0.01,0.005,8,5,dlr,1,0.0009418943559776975,0.00013145016669466425
0.01,0.005,8,5,dlr,2,0.0007141528381855734,9.015496801649553e-05
0.01,0.005,8,5,dlr,3,0.0007559773686448548,6.117775986844371e-05
0.01,0.005,8,5,dlr,4,0.0007033442189387897,4.84181248573171e-05
0.001,0.01,8,5,dlr,0,0.0014176993422789419,3.0250868696827325e-05
0.001,0.01,8,5,dlr,1,0.0006987035763105283,3.2486937745256837e-07
0.001,0.01,8,5,dlr,2,0.0006780487753088098,2.54210951138054e-07
0.001,0.01,8,5,dlr,3,0.0006696462576807193,1.838858192137386e-07
0.001,0.01,8,5,dlr,4,0.0006649189874856107,1.1225982955050129e-07
0.001,0.001,8,5,dlr,0,0.0013779506289182313,0.00017101626931348744
0.001,0.001,8,5,dlr,1,0.0007054462362185612,8.452421565237248e-07
0.001,0.001,8,5,dlr,2,0.0006804260429525542,4.014813112698801e-07
0.001,0.001,8,5,dlr,3,0.0006741992154340064,1.7541541769365422e-07
0.001,0.001,8,5,dlr,4,0.0006690888888909725,3.3384402633070964e-07
0.001,0.005,8,5,dlr,0,0.0013588145676783731,0.00013708164916521683
0.001,0.005,8,5,dlr,1,0.0007082002243939649,5.606831167115531e-07
0.001,0.005,8,5,dlr,2,0.0006793806627390542,1.745029498462383e-07
0.001,0.005,8,5,dlr,3,0.0006690125815766115,1.620195700922251e-07
0.001,0.005,8,5,dlr,4,0.0006662422432824639,9.659949611647618e-08
0.0001,0.01,8,5,dlr,0,0.0077365106891916086,0.0011359166144599363
0.0001,0.01,8,5,dlr,1,0.0008530449748953755,2.5203571650956275e-06
0.0001,0.01,8,5,dlr,2,0.0007510808698551848,5.752155440276646e-07
0.0001,0.01,8,5,dlr,3,0.0007266363731326772,4.2132669863982784e-07
0.0001,0.01,8,5,dlr,4,0.0007179114036555209,2.9225336761182113e-07
0.0001,0.001,8,5,dlr,0,0.005342597313342019,0.0020951688899226517
0.0001,0.001,8,5,dlr,1,0.000881339565570501,2.044596627120952e-05
0.0001,0.001,8,5,dlr,2,0.0007391886651263653,1.0512751873278768e-06
0.0001,0.001,8,5,dlr,3,0.000716559388902113,5.157689406650701e-07
0.0001,0.001,8,5,dlr,4,0.0007096817306901601,4.462519313528857e-07
0.0001,0.005,8,5,dlr,0,0.006873290689791076,0.0015479161007477316
0.0001,0.005,8,5,dlr,1,0.0007913787532097051,2.0828853177058893e-06
0.0001,0.005,8,5,dlr,2,0.0007385915566603847,5.987003080138392e-07
0.0001,0.005,8,5,dlr,3,0.0007231920564897228,3.436324286365116e-07
0.0001,0.005,8,5,dlr,4,0.0007150009009742101,1.8370022027672764e-07
