S,delta,batch_size,freq_warmup,sin_warmup,epoch,dsName,currepoch,loss
5,0.05,180,10,10,5,smtp,0,0.11432908
5,0.05,180,10,10,5,smtp,1,0.048395857
5,0.05,180,10,10,5,smtp,2,0.045233283
5,0.05,180,10,10,5,smtp,3,0.03748642
5,0.05,180,10,10,5,smtp,4,0.036951203
5,0.05,180,10,10,5,smtp,5,0.037049465
5,0.05,180,10,10,5,smtp,6,0.0332073
5,0.05,180,10,10,5,smtp,7,0.0276455
5,0.05,180,10,10,5,smtp,8,0.023159388
5,0.05,180,10,10,5,smtp,9,0.02024351
5,0.05,180,10,10,5,smtp,0,0.1766341
5,0.05,180,10,10,5,smtp,1,0.123256974
5,0.05,180,10,10,5,smtp,2,0.08410042
5,0.05,180,10,10,5,smtp,3,0.04357798
5,0.05,180,10,10,5,smtp,4,0.03460339
5,0.05,180,10,10,5,smtp,5,0.02011814
5,0.05,180,10,10,5,smtp,6,0.011564808
5,0.05,180,10,10,5,smtp,7,0.012122782
5,0.05,180,10,10,5,smtp,8,0.009924796
5,0.05,180,10,10,5,smtp,9,0.014516436
5,0.05,180,10,10,10,smtp,0,0.3134561
5,0.05,180,10,10,10,smtp,1,0.18523227
5,0.05,180,10,10,10,smtp,2,0.08957275
5,0.05,180,10,10,10,smtp,3,0.050779626
5,0.05,180,10,10,10,smtp,4,0.030040804
5,0.05,180,10,10,10,smtp,5,0.030196393
5,0.05,180,10,10,10,smtp,6,0.02472514
5,0.05,180,10,10,10,smtp,7,0.015331695
5,0.05,180,10,10,10,smtp,8,0.015643116
5,0.05,180,10,10,10,smtp,9,0.013581948
5,0.05,180,10,10,15,smtp,0,0.06207411
5,0.05,180,10,10,15,smtp,1,0.043022074
5,0.05,180,10,10,15,smtp,2,0.048249234
5,0.05,180,10,10,15,smtp,3,0.044153765
5,0.05,180,10,10,15,smtp,4,0.043545086
5,0.05,180,10,10,15,smtp,5,0.044368688
5,0.05,180,10,10,15,smtp,6,0.04277332
5,0.05,180,10,10,15,smtp,7,0.04535915
5,0.05,180,10,10,15,smtp,8,0.044514835
5,0.05,180,10,10,15,smtp,9,0.045542832
5,0.04,180,10,10,5,smtp,0,0.1438785
5,0.04,180,10,10,5,smtp,1,0.08082793
5,0.04,180,10,10,5,smtp,2,0.046534296
5,0.04,180,10,10,5,smtp,3,0.045158148
5,0.04,180,10,10,5,smtp,4,0.047322437
5,0.04,180,10,10,5,smtp,5,0.039672326
5,0.04,180,10,10,5,smtp,6,0.04455732
5,0.04,180,10,10,5,smtp,7,0.043418344
5,0.04,180,10,10,5,smtp,8,0.041690167
5,0.04,180,10,10,5,smtp,9,0.043102738
5,0.04,180,10,10,10,smtp,0,0.1460393
5,0.04,180,10,10,10,smtp,1,0.06731972
5,0.04,180,10,10,10,smtp,2,0.04666115
5,0.04,180,10,10,10,smtp,3,0.047012255
5,0.04,180,10,10,10,smtp,4,0.04131892
5,0.04,180,10,10,10,smtp,5,0.046117563
5,0.04,180,10,10,10,smtp,6,0.040401332
5,0.04,180,10,10,10,smtp,7,0.03724206
5,0.04,180,10,10,10,smtp,8,0.038220342
5,0.04,180,10,10,10,smtp,9,0.03885025
5,0.04,180,10,10,15,smtp,0,0.24868181
5,0.04,180,10,10,15,smtp,1,0.12054017
5,0.04,180,10,10,15,smtp,2,0.055309005
5,0.04,180,10,10,15,smtp,3,0.045618303
5,0.04,180,10,10,15,smtp,4,0.038707707
5,0.04,180,10,10,15,smtp,5,0.037359
5,0.04,180,10,10,15,smtp,6,0.031395473
5,0.04,180,10,10,15,smtp,7,0.025782624
5,0.04,180,10,10,15,smtp,8,0.024303194
5,0.04,180,10,10,15,smtp,9,0.018053995
5,0.03,180,10,10,5,smtp,0,0.1805859
5,0.03,180,10,10,5,smtp,1,0.0823549
5,0.03,180,10,10,5,smtp,2,0.047075685
5,0.03,180,10,10,5,smtp,3,0.04702253
5,0.03,180,10,10,5,smtp,4,0.043215834
5,0.03,180,10,10,5,smtp,5,0.04382591
5,0.03,180,10,10,5,smtp,6,0.0437261
5,0.03,180,10,10,5,smtp,7,0.04421457
5,0.03,180,10,10,5,smtp,8,0.044102136
5,0.03,180,10,10,5,smtp,9,0.03904579
5,0.03,180,10,10,10,smtp,0,0.20614874
5,0.03,180,10,10,10,smtp,1,0.09948075
5,0.03,180,10,10,10,smtp,2,0.06585753
5,0.03,180,10,10,10,smtp,3,0.056775633
5,0.03,180,10,10,10,smtp,4,0.05055626
5,0.03,180,10,10,10,smtp,5,0.047727507
5,0.03,180,10,10,10,smtp,6,0.039443314
5,0.03,180,10,10,10,smtp,7,0.04325757
5,0.03,180,10,10,10,smtp,8,0.041075345
