dsName,TranAD,USAD,GDN,OmniAnomaly,RCoder
ecg,0.9892307692307692,0.784923076923077,0.8634871794871795,0.31887179487179484,0.4045128205128205
smtp,0.1875,0.1875,0.0625,0.375,0.4375
credit,0.01858736059479554,0.01858736059479554,0.01858736059479554,1.0,0.4275092936802974
ecg,0.9892307692307692,0.784923076923077,0.8634871794871795,0.31887179487179484,0.4186666666666667
smtp,0.1875,0.1875,0.0625,0.375,0.125
dlr,0.5071428571428571,0.4714285714285714,0.4714285714285714,Error,0.1976190476190476
ecg,0.9892307692307692,0.784923076923077,0.8634871794871795,0.31887179487179484,0.4124102564102564
smtp,0.1875,0.1875,0.0625,0.375,0.4375
dlr,0.5071428571428571,0.4714285714285714,0.4714285714285714,Error,0.2833333333333333
ecg,0.45764102564102566,0.2925128205128205,0.5276923076923077,0.21846153846153846,Error
smtp,1.0,1.0,1.0,1.0,Error
dlr,1.0,1.0,1.0,1.0,Error
ecg,Error
smtp,Error
dlr,Error
