dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.625,0.42857142857142855,0.625,1.0,0.0,0.42857142857142855,0.4375,0.4375,0.6388888888888888,1.0,0.0,0.4375
twitter,0.17045454545454547,0.2915384615384615,0.07153502235469449,0.18055555555555555,0.0,0.15,0.12087912087912088,0.11499999999999999,0.048239895697522815,0.06349206349206349,0.0,0.02857142857142857
dlr,0.03631647211413748,0.09445427229217578,0.08248657981630117,0.07030555802578924,0.1092436974789916,0.1568877551020408,0.03631647211413748,0.028948967193195625,0.0060027919374909195,0.008921357709347839,0.018518518518518517,0.02358490566037736
ecg,0.28988450874726646,0.19782966507977698,0.14714948528584304,0.350064739030838,0.715716600186657,0.19377572635784363,0.1219564744479233,0.0887081801153887,0.06978039020524504,0.2916957437699626,0.7143430811852497,0.11522013881228335
smtp,0.005050505050505051,0.0025933609958506223,0.25,0.19047619047619047,0.000395882818685669,0.25641025641025644,0.005654008438818566,0.0026652821045344407,0.3190476190476191,0.15,0.000395882818685669,0.20833333333333334
exathlon_sp_pos,0.6666666666666666,0.10464522456709958,0.14109231185953044,0.1103859649122807,0.0,0.2633636856883231,0.6666666666666666,0.008148799795552024,0.14033333333333334,0.00841328865642313,0.0,0.14033333333333334
uni_subg_sp_pos,0.9821428571428571,0.9126027921208646,0.9772727272727274,0.0,0.0,0.9772727272727274,0.9985632183908046,0.6075830862849119,0.9950980392156863,0.0,0.0,0.9950980392156863
uni_subs_sp_pos,0.15151515151515152,0.046282996997884504,0.16825176837547592,0.08818153075604954,0.0,0.1478886120580312,0.125,0.023043605388975215,0.04230238403955629,0.026495228692037468,0.0,0.04691188037877086
uni_subt_sp_pos,0.047619047619047616,0.7445368558382257,0.41615798962957007,0.106441761500094,0.0,0.08367152184831742,0.047619047619047616,0.7082291529587227,0.1284878185330674,0.02902739700364623,0.0,0.0944
yahoo,0.0496031746031746,0.18055555555555555,0.18055555555555555,0.20138888888888887,Error,0.18055555555555555,0.05114638447971782,0.1851851851851852,0.1851851851851852,0.20138888888888887,0.0,0.1851851851851852
twitter,0.03012153080057109,0.19688644688644688,0.0,0.03741830065359477,Error,0.20526315789473681,0.01981665288116901,0.19880952380952377,0.0,0.024378109452736316,0.0,0.20758873929008564
dlr,1.0,0.007776366630862431,0.1934898094092723,0.22181260304084996,0.5652173913043478,0.3633613445378151,1.0,0.00793849391388859,0.0719608561179964,0.08537639478233537,0.09090909090909091,0.09081959143490032
ecg,0.04411496828612023,0.15386630795892242,0.13981732561670043,0.4703883853951974,0.5173805967854411,0.155559207442997,0.04410244596081938,0.1028085666347703,0.09013381904201859,0.3516638960552442,0.5153891101446544,0.10746054707764556
smtp,0.0008407517309594461,0.0013029315960912053,0.00015852569591866638,0.16666666666666666,0.00033793773497233133,0.004491017964071856,0.0008741547088899884,0.0014558887440243374,0.00015852569591866638,0.13043478260869565,0.00033793773497233133,0.0029985007496251873
exathlon_sp_pos,0.10989010989010989,0.31955671845411415,0.1401654207432238,0.2575985388205292,Error,0.7587662770532643,0.012152671755725191,0.14033333333333334,0.1401654207432238,0.14033333333333334,0.0,0.14033333333333334
uni_subg_sp_pos,0.18160377358490565,0.23253493013972057,0.24996861268047713,0.17075892857142858,Error,0.17057291666666666,0.044271655022162126,0.02013155955592333,0.01946450646140399,0.04097974564295808,0.0,0.04097974564295808
uni_subs_sp_pos,0.15300546448087432,0.11535423767338768,0.07043674284818713,0.08554145631509529,Error,0.16697428647137125,0.049079754601226995,0.03723656572400719,0.04280724021513903,0.008012396252165923,0.0,0.04879149709967408
uni_subt_sp_pos,1.0,0.21654643635208204,0.03585638898654084,0.09760286693257772,Error,0.26385043916415446,1.0,0.29580007239196654,0.004635208201053017,0.01678741163981502,0.0,0.11557507656156683
