dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.21428571428571427,0.42857142857142855,0.9285714285714286,1.0,0.0,0.42857142857142855,0.5,0.5,1.0,1.0,0.0,0.5
twitter,0.13450292397660818,0.3567251461988304,0.3081140350877193,0.23001949317738793,0.0,0.0625,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.0,0.08333333333333333
dlr,1.0,0.40048076923076925,0.49014423076923075,0.5146634615384615,0.41466346153846156,0.37403846153846154,1.0,1.0,1.0,1.0,1.0,1.0
ecg,0.06541939336571917,0.42504507893313487,0.7472970686104816,0.2906153963327817,0.5547221084525725,0.9341044976476272,0.08425414364640885,0.4699585635359116,0.7755524861878453,0.32527624309392267,0.5808011049723757,0.9571823204419889
smtp,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.4444444444444445,0.2,0.26666666666666666,0.6,0.6,0.6,0.6,0.2,0.6
exathlon_sp_pos,0.004527243589743589,0.7454978358770494,0.9966724286949006,0.7167458055186285,0.0,0.9942890442890443,0.25,1.0,1.0,1.0,0.0,1.0
uni_subg_sp_pos,0.11761627906976745,0.7926744186046512,0.4741860465116279,0.0,0.0,0.4741860465116279,1.0,1.0,1.0,0.0,0.0,1.0
uni_subs_sp_pos,0.010406976744186048,0.9652325581395349,0.9806395348837209,0.9658720930232557,0.0,0.9504651162790698,0.5,1.0,1.0,1.0,0.0,1.0
uni_subt_sp_pos,0.007267441860465116,0.20424418604651162,0.7336627906976745,0.9558720930232558,0.0,0.9927325581395349,0.125,0.375,1.0,1.0,0.0,1.0
yahoo,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,Error,0.9285714285714286,1.0,1.0,1.0,1.0,0.0,1.0
twitter,0.4169103313840156,0.3289473684210526,0.0,0.7270955165692007,Error,0.41228070175438597,0.5,0.3333333333333333,0.0,0.8333333333333334,0.0,0.4166666666666667
dlr,0.0019230769230769232,0.98125,0.24447115384615384,0.2456730769230769,0.2786057692307692,0.2742788461538461,0.5,1.0,1.0,1.0,1.0,1.0
ecg,0.9648941068139962,0.41121459504687574,0.15474148505874363,0.18216981547889932,0.5940623907191294,0.2044353071147202,0.9665055248618785,0.4613259668508287,0.19924033149171272,0.19647790055248618,0.6191298342541437,0.25
smtp,0.34444444444444444,0.22222222222222224,1.0,0.4444444444444445,0.4222222222222222,0.16666666666666666,0.6,0.6,1.0,0.6,0.6,0.4
exathlon_sp_pos,0.2197008214827737,0.9962121212121212,1.0,0.9948076268300987,Error,0.9692477934050968,1.0,1.0,1.0,1.0,0.0,1.0
uni_subg_sp_pos,0.12302325581395349,0.6711046511627908,0.6775581395348838,0.40174418604651163,Error,0.40174418604651163,1.0,1.0,1.0,1.0,0.0,1.0
uni_subs_sp_pos,0.18569767441860469,0.961686046511628,0.9895930232558141,0.7015116279069767,Error,0.9494186046511628,1.0,1.0,1.0,1.0,0.0,1.0
uni_subt_sp_pos,0.007267441860465116,0.5018604651162791,0.9533720930232559,0.9381976744186047,Error,0.5636046511627908,0.125,1.0,1.0,1.0,0.0,0.75
