dsName,TranADWithPOT,TranAD,USAD,OmniAnomaly,RCoder,GDN,TranADWithPOT_ap,TranAD_ap,USAD_ap,OmniAnomaly_ap,RCoder_ap,GDN_ap
yahoo,0.34407734870910645,0.8791999816894531,5.663437366485596,7.062286853790283,0.0,13.47779655456543,0.0,0.0,0.0,0.0,0.0,0.0
twitter,4.697370767593384,4.09664511680603,52.240827798843384,65.3213300704956,0.0,131.8007333278656,0.0,0.0,0.0,0.0,0.0,0.0
dlr,10.461561918258667,17.161634922027588,90.34211254119873,113.17266607284546,29.800649166107178,215.0323143005371,0.0,0.0,0.0,0.0,0.0,0.0
ecg,125.5166380405426,308.18852519989014,787.9711937904358,842.5216207504272,240.13970375061035,1908.4890713691711,0.0,0.0,0.0,0.0,0.0,0.0
smtp,34.86739158630371,83.90635657310486,382.1125841140747,448.2074363231659,77.48422765731812,923.7967410087585,0.0,0.0,0.0,0.0,0.0,0.0
exathlon_sp_pos,1.6039962768554688,2.124478816986084,23.06106662750244,29.146366357803345,0.0,57.828242778778076,0.0,0.0,0.0,0.0,0.0,0.0
uni_subg_sp_pos,2.709169387817383,3.5446107387542725,41.58235239982605,54.52544641494751,0.0,103.98596858978271,0.0,0.0,0.0,0.0,0.0,0.0
uni_subs_sp_pos,2.6753342151641846,3.425773859024048,41.19018197059631,52.47116780281067,0.0,102.86774682998657,0.0,0.0,0.0,0.0,0.0,0.0
uni_subt_sp_pos,2.5537805557250977,3.7085061073303223,41.44046187400818,52.13927340507507,0.0,103.75118851661682,0.0,0.0,0.0,0.0,0.0,0.0
yahoo,0.5433833599090576,2.428121328353882,12.259597301483154,14.862921476364136,Error,45.49693322181702,0.0,0.0,0.0,0.0,0.0,0.0
twitter,4.913295269012451,7.571555852890015,108.20032835006714,134.31667923927307,Error,447.98580598831177,0.0,0.0,0.0,0.0,0.0,0.0
dlr,15.173743963241577,31.06139612197876,183.19798588752747,211.4080593585968,180.60284614562988,371.8166902065277,0.0,0.0,0.0,0.0,0.0,0.0
ecg,135.79902577400208,606.9372808933258,1349.381901025772,1355.4764561653137,1224.8807680606842,2941.2352726459503,0.0,0.0,0.0,0.0,0.0,0.0
smtp,31.37699794769287,104.81958413124084,566.0406286716461,827.1060152053833,479.24819707870483,1479.9708290100098,0.0,0.0,0.0,0.0,0.0,0.0
exathlon_sp_pos,2.0960006713867188,4.794998407363892,53.94402718544006,63.91851258277893,Error,106.16753125190735,0.0,0.0,0.0,0.0,0.0,0.0
uni_subg_sp_pos,3.6480019092559814,6.740997314453125,93.38351058959961,111.79152584075928,Error,188.04504084587097,0.0,0.0,0.0,0.0,0.0,0.0
uni_subs_sp_pos,3.6220004558563232,7.212003469467163,92.76150918006897,111.09952211380005,Error,188.1960413455963,0.0,0.0,0.0,0.0,0.0,0.0
uni_subt_sp_pos,3.4990007877349854,7.467999219894409,95.18252635002136,113.98901748657227,Error,179.41103839874268,0.0,0.0,0.0,0.0,0.0,0.0
