threshold,precision,recall,fmeasure
0,NaN,0,-1
0.005025126,0.217081851,0.00625641,0.012162297
0.010050251,0.23268206,0.013435897,0.025404829
0.015075377,0.246153846,0.021333333,0.039263804
0.020100503,0.268855368,0.031076923,0.055713892
0.025125628,0.307310149,0.044410256,0.07760552
0.030150754,0.345357776,0.059897436,0.102088978
0.035175879,0.390775469,0.079076923,0.131536296
0.040201005,0.410643016,0.094974359,0.154269055
0.045226131,0.422546315,0.109948718,0.174493367
0.050251256,0.423199716,0.122358974,0.189832127
0.055276382,0.414059981,0.131692308,0.199828807
0.060301508,0.404966007,0.140512821,0.208634737
0.065326633,0.394815825,0.148410256,0.215728662
0.070351759,0.382062326,0.154666667,0.220194203
0.075376884,0.371246157,0.161025641,0.224622648
0.08040201,0.36200399,0.167487179,0.229016198
0.085427136,0.3528798,0.173435897,0.232567735
0.090452261,0.345486795,0.179794872,0.236508365
0.095477387,0.338125467,0.18574359,0.239772276
0.100502513,0.330613693,0.191179487,0.242266701
0.105527638,0.323310811,0.196307692,0.244288449
0.110552764,0.317961948,0.20225641,0.247241725
0.115577889,0.313849476,0.208717949,0.25070839
0.120603015,0.308306237,0.213948718,0.252603536
0.125628141,0.304625426,0.220205128,0.25562567
0.130653266,0.299727149,0.225333333,0.257259953
0.135678392,0.294929059,0.23025641,0.258610759
0.140703518,0.291233848,0.235794872,0.260598504
0.145728643,0.287548924,0.241128205,0.262300569
0.150753769,0.283518562,0.245948718,0.263400703
0.155778894,0.278375286,0.249538462,0.263169281
0.16080402,0.274551097,0.254051282,0.263903686
0.165829146,0.270636285,0.25825641,0.264301459
0.170854271,0.266353678,0.261846154,0.264080683
0.175879397,0.261781697,0.264923077,0.263343019
0.180904523,0.257759385,0.268307692,0.262927785
0.185929648,0.254913239,0.272717949,0.263515188
0.190954774,0.251843555,0.276717949,0.26369545
0.195979899,0.248021828,0.279692308,0.262906725
0.201005025,0.244125211,0.282358974,0.261853807
0.206030151,0.240764772,0.285435897,0.261204186
0.211055276,0.237226586,0.288102564,0.26020101
0.216080402,0.235502763,0.292820513,0.261052439
0.221105528,0.233534865,0.297128205,0.261521101
0.226130653,0.23078742,0.300307692,0.26099746
0.231155779,0.227773922,0.302974359,0.260046657
0.236180905,0.225643348,0.306666667,0.259988696
0.24120603,0.223379886,0.310051282,0.259674441
0.246231156,0.221208831,0.313435897,0.259367706
0.251256281,0.219565834,0.317435897,0.25958232
0.256281407,0.217067742,0.320102564,0.258703581
0.261306533,0.215075034,0.323384615,0.258336747
0.266331658,0.213425244,0.327076923,0.258302284
0.271356784,0.211442459,0.330153846,0.2577881
0.27638191,0.209402812,0.333025641,0.257127019
0.281407035,0.208639473,0.337846154,0.257968518
0.286432161,0.207093964,0.341333333,0.257784663
0.291457286,0.205357143,0.344410256,0.257298291
0.296482412,0.204039918,0.348102564,0.257277138
0.301507538,0.202589265,0.351487179,0.257031426
0.306532663,0.201128038,0.354769231,0.256716639
0.311557789,0.200057208,0.358666667,0.256849064
0.316582915,0.19969598,0.363794872,0.25785112
0.32160804,0.199068943,0.368410256,0.258473052
0.326633166,0.197860963,0.371897436,0.258298903
0.331658291,0.196904557,0.375794872,0.258410325
0.336683417,0.195563556,0.378871795,0.257969901
0.341708543,0.194616869,0.382666667,0.258013208
0.346733668,0.193851848,0.386769231,0.258261138
0.351758794,0.19310869,0.390871795,0.258504324
0.35678392,0.192086726,0.394358974,0.258339772
0.361809045,0.19084684,0.397333333,0.257845519
0.366834171,0.189883873,0.400820513,0.257690152
0.371859296,0.189186598,0.404820513,0.257864306
0.376884422,0.188224166,0.408205128,0.257646868
0.381909548,0.187473748,0.412,0.257689964
0.386934673,0.186881017,0.416102564,0.257923011
0.391959799,0.186076122,0.419692308,0.257836867
0.396984925,0.185336506,0.423384615,0.257814696
0.40201005,0.184659721,0.427179487,0.257854821
0.407035176,0.18399965,0.430974359,0.257894252
0.412060302,0.183009646,0.433948718,0.257446226
0.417085427,0.182179487,0.437230769,0.25719457
0.422110553,0.181361372,0.440512821,0.256939459
0.427135678,0.180437323,0.443487179,0.256510648
0.432160804,0.179988452,0.447589744,0.256736087
0.43718593,0.179794521,0.452307692,0.257307894
0.442211055,0.179282547,0.456205128,0.257407407
0.447236181,0.178662522,0.459794872,0.257333104
0.452261307,0.178371561,0.464205128,0.257715522
0.457286432,0.177580293,0.467282051,0.25735751
0.462311558,0.176960444,0.470769231,0.257229321
0.467336683,0.176506484,0.474666667,0.257325549
0.472361809,0.175948985,0.47825641,0.257254772
0.477386935,0.175515233,0.482153846,0.257349318
0.48241206,0.17575556,0.487897436,0.258420252
0.487437186,0.175698406,0.492820513,0.259043614
0.492462312,0.17538907,0.497025641,0.259283039
0.497487437,0.175587561,0.502666667,0.260262333
0.502512563,0.175433618,0.507282051,0.26070685
0.507537688,0.175346795,0.512102564,0.261242642
0.512562814,0.175574643,0.517846154,0.262238035
0.51758794,0.175901374,0.523897436,0.263373637
0.522613065,0.176119505,0.529641026,0.26433928
0.527638191,0.176299699,0.535282051,0.265240261
0.532663317,0.176844571,0.542051282,0.266683487
0.537688442,0.177511851,0.549230769,0.268306736
0.542713568,0.178133929,0.556307692,0.269857459
0.547738693,0.178614428,0.562974359,0.271188953
0.552763819,0.17944088,0.570769231,0.273041729
0.557788945,0.180252436,0.578564103,0.274869046
0.56281407,0.18076448,0.585435897,0.276235875
0.567839196,0.181361625,0.592615385,0.277728376
0.572864322,0.181761613,0.599179487,0.278914325
0.577889447,0.182432224,0.606666667,0.280511228
0.582914573,0.183152423,0.614358974,0.282181133
0.587939698,0.183835567,0.621948718,0.283788843
0.592964824,0.184712036,0.63025641,0.285694361
0.59798995,0.185394933,0.637948718,0.287297921
0.603015075,0.18642114,0.646871795,0.289431417
0.608040201,0.186902738,0.653948718,0.290716761
0.613065327,0.187347366,0.660923077,0.29194038
0.618090452,0.187611742,0.667282051,0.292878365
0.623115578,0.188358124,0.675384615,0.294564974
0.628140704,0.189120935,0.683589744,0.296274893
0.633165829,0.189702736,0.691179487,0.297698458
0.638190955,0.190191588,0.698461538,0.298972693
0.64321608,0.19053425,0.705230769,0.30001309
0.648241206,0.191394006,0.713948718,0.301864701
