threshold,precision,recall,fmeasure
0,NaN,0,-1
0.005025126,0.704626335,0.020307692,0.039477619
0.010050251,0.696269982,0.040205128,0.076020557
0.015075377,0.749112426,0.064923077,0.119490326
0.020100503,0.774622893,0.089538462,0.160522203
0.025125628,0.795599716,0.114974359,0.20091406
0.030150754,0.806031934,0.139794872,0.238265886
0.035175879,0.806386214,0.163179487,0.271432227
0.040201005,0.801330377,0.185333333,0.301041233
0.045226131,0.790303508,0.205641026,0.326361195
0.050251256,0.772969138,0.223487179,0.346726072
0.055276382,0.750080619,0.238564103,0.361995175
0.060301508,0.726574047,0.252102564,0.374324221
0.065326633,0.698772169,0.262666667,0.381811405
0.070351759,0.672156068,0.272102564,0.387384099
0.075376884,0.645779144,0.280102564,0.390728951
0.08040201,0.620704943,0.287179487,0.392679335
0.085427136,0.601836394,0.295794872,0.396644203
0.090452261,0.580804099,0.30225641,0.397598489
0.095477387,0.562173264,0.308820513,0.398649543
0.100502513,0.544874069,0.315076923,0.39927216
0.105527638,0.528547297,0.320923077,0.399361838
0.110552764,0.514027733,0.326974359,0.399699097
0.115577889,0.502159161,0.333948718,0.401133424
0.120603015,0.488176175,0.338769231,0.399975781
0.125628141,0.476021566,0.344102564,0.399452316
0.130653266,0.465075034,0.349641026,0.399180328
0.135678392,0.454676826,0.354974359,0.398686787
0.140703518,0.445781606,0.360923077,0.398889141
0.145728643,0.436276908,0.365846154,0.39796943
0.150753769,0.427997162,0.371282051,0.397627417
0.155778894,0.420594966,0.377025641,0.397620335
0.16080402,0.412547107,0.38174359,0.39654805
0.165829146,0.405202064,0.386666667,0.395717435
0.170854271,0.399478352,0.392717949,0.396069304
0.175879397,0.392216479,0.396923077,0.394555742
0.180904523,0.385949355,0.40174359,0.393688125
0.185929648,0.378966542,0.405435897,0.391754621
0.190954774,0.371977971,0.408717949,0.389483458
0.195979899,0.366166439,0.412923077,0.388141721
0.201005025,0.360113505,0.416512821,0.386265278
0.206030151,0.353663812,0.419282051,0.383687644
0.211055276,0.347436872,0.421948718,0.381084711
0.216080402,0.341994556,0.425230769,0.379097517
0.221105528,0.337122128,0.428923077,0.377522004
0.226130653,0.331993379,0.432,0.375451264
0.231155779,0.327241884,0.435282051,0.373607993
0.236180905,0.322013433,0.437641026,0.371027347
0.24120603,0.316928988,0.439897436,0.368423313
0.246231156,0.311762577,0.44174359,0.365542118
0.251256281,0.30746311,0.444512821,0.363499119
0.256281407,0.302545556,0.446153846,0.360576923
0.261306533,0.298158254,0.448307692,0.358131913
0.266331658,0.293601927,0.449948718,0.355337761
0.271356784,0.289871256,0.452615385,0.353407544
0.27638191,0.285308913,0.45374359,0.350332594
0.281407035,0.281606283,0.456,0.348187015
0.286432161,0.278220286,0.458564103,0.346320682
0.291457286,0.27446184,0.460307692,0.343881695
0.296482412,0.270470121,0.461435897,0.341040024
0.301507538,0.267261764,0.463692308,0.339083477
0.306532663,0.263926038,0.465538462,0.336871011
0.311557789,0.261155606,0.468205128,0.335291957
0.316582915,0.257966445,0.469948718,0.333091015
0.32160804,0.255154068,0.472205128,0.331294524
0.326633166,0.252264542,0.474153846,0.329320416
0.331658291,0.249785039,0.476717949,0.327808731
0.336683417,0.246916195,0.478358974,0.325709697
0.341708543,0.244223045,0.480205128,0.323778569
0.346733668,0.242173444,0.483179487,0.322638085
0.351758794,0.239422346,0.484615385,0.32050195
0.35678392,0.237248339,0.487076923,0.319078174
0.361809045,0.235578107,0.490461538,0.318280142
0.366834171,0.233710704,0.493333333,0.317167255
0.371859296,0.231749988,0.495897436,0.315878875
0.376884422,0.23003074,0.498871795,0.314872957
0.381909548,0.228543427,0.50225641,0.314141835
0.386934673,0.226956562,0.505333333,0.313233097
0.391959799,0.225819653,0.509333333,0.312907596
0.396984925,0.224621739,0.513128205,0.312462917
0.40201005,0.22367546,0.517435897,0.312335552
0.407035176,0.223102859,0.522564103,0.312701384
0.412060302,0.222544228,0.527692308,0.313060939
0.417085427,0.221367521,0.531282051,0.312518854
0.422110553,0.220547251,0.535692308,0.312455133
0.427135678,0.219829745,0.540307692,0.312511123
0.432160804,0.219211416,0.545128205,0.312683845
0.43718593,0.218974234,0.550871795,0.313378844
0.442211055,0.218460298,0.555897436,0.313657407
0.447236181,0.218555715,0.562461538,0.314792492
0.452261307,0.219043115,0.570051282,0.316478761
0.457286432,0.219402869,0.577333333,0.317968706
0.462311558,0.220024674,0.585333333,0.319827393
0.467336683,0.220213577,0.592205128,0.321045316
0.472361809,0.220058863,0.598153846,0.321747766
0.477386935,0.22005675,0.604512821,0.322658346
0.48241206,0.220239415,0.611384615,0.323826597
0.487437186,0.220637707,0.618871795,0.325300555
0.492462312,0.220738328,0.625538462,0.326324238
0.497487437,0.220550301,0.631384615,0.326907758
0.502512563,0.220444791,0.637435897,0.327596658
0.507537688,0.220895522,0.645128205,0.32910399
0.512562814,0.220815801,0.651282051,0.329810164
0.51758794,0.221150866,0.658666667,0.331124803
0.522613065,0.221581801,0.666358974,0.332574032
0.527638191,0.22143026,0.672307692,0.333138515
0.532663317,0.221816965,0.679897436,0.334502334
0.537688442,0.221931249,0.686666667,0.335446051
0.542713568,0.222141942,0.69374359,0.336525784
0.547738693,0.221990824,0.699692308,0.33704701
0.552763819,0.222293877,0.707076923,0.338247921
0.557788945,0.22220802,0.713230769,0.338847606
0.56281407,0.222377047,0.720205128,0.339826264
0.567839196,0.222448916,0.726871795,0.340647456
0.572864322,0.222426185,0.733230769,0.341314363
0.577889447,0.222619745,0.740307692,0.342304318
0.582914573,0.222412475,0.746051282,0.342668708
0.587939698,0.222063906,0.751282051,0.342802321
0.592964824,0.221864855,0.757025641,0.343158678
0.59798995,0.221490313,0.762153846,0.343233256
0.603015075,0.22091511,0.766564103,0.342985636
0.608040201,0.22029079,0.770769231,0.342650009
0.613065327,0.21961856,0.774769231,0.342228061
0.618090452,0.218870754,0.778461538,0.34167642
0.623115578,0.218220824,0.782461538,0.341265936
0.628140704,0.217439419,0.785948718,0.340638336
0.633165829,0.21638892,0.788410256,0.339576799
0.638190955,0.215690108,0.792102564,0.339055229
0.64321608,0.214891377,0.795384615,0.338365548
0.648241206,0.214489964,0.800102564,0.338291414
0.653266332,0.214012878,0.804512821,0.338088875
0.658291457,0.213597227,0.809128205,0.337974467
0.663316583,0.213080396,0.813333333,0.337691096
0.668341709,0.212577006,0.817538462,0.337418249
0.673366834,0.212181371,0.822153846,0.337309853
0.67839196,0.211817871,0.826871795,0.337244567
0.683417085,0.211329317,0.831076923,0.336972117
