threshold,precision,recall,fmeasure
0,NaN,0,-1
0.005025126,0.505338078,0.014564103,0.028312232
0.010050251,0.664298401,0.038358974,0.072529817
0.015075377,0.73964497,0.064102564,0.117980179
0.020100503,0.792369122,0.091589744,0.164199687
0.025125628,0.821859475,0.118769231,0.207545479
0.030150754,0.838557067,0.145435897,0.24788043
0.035175879,0.849467816,0.171897436,0.285933635
0.040201005,0.851441242,0.196923077,0.319866722
0.045226131,0.85573512,0.222666667,0.353381623
0.050251256,0.854558354,0.247076923,0.383324051
0.055276382,0.852628184,0.271179487,0.411485488
0.060301508,0.845699084,0.293435897,0.435696337
0.065326633,0.833287858,0.313230769,0.455311219
0.070351759,0.806941981,0.326666667,0.465065343
0.075376884,0.778671081,0.33774359,0.471135274
0.08040201,0.750609621,0.347282051,0.47486151
0.085427136,0.722036728,0.354871795,0.475863017
0.090452261,0.697083169,0.362769231,0.477199137
0.095477387,0.671209858,0.368717949,0.475969813
0.100502513,0.648989003,0.375282051,0.475565376
0.105527638,0.628040541,0.381333333,0.474537332
0.110552764,0.609964528,0.388,0.474297894
0.115577889,0.590838988,0.392923077,0.471972404
0.120603015,0.573159917,0.39774359,0.469605231
0.125628141,0.557037457,0.402666667,0.4674366
0.130653266,0.539427012,0.405538462,0.462997658
0.135678392,0.524697846,0.409641026,0.460085244
0.140703518,0.510640993,0.413435897,0.456925867
0.145728643,0.495841487,0.415794872,0.452303916
0.150753769,0.482028848,0.418153846,0.447825132
0.155778894,0.469221968,0.420615385,0.44359113
0.16080402,0.457215695,0.423076923,0.439484338
0.165829146,0.446152193,0.42574359,0.435709037
0.170854271,0.435159103,0.427794872,0.431445565
0.175879397,0.42393838,0.429025641,0.42646684
0.180904523,0.413735343,0.430666667,0.422031258
0.185929648,0.403988112,0.432205128,0.417620534
0.190954774,0.395034071,0.434051282,0.413624591
0.195979899,0.386448386,0.435794872,0.409640877
0.201005025,0.378292099,0.437538462,0.405764018
0.206030151,0.37010122,0.438769231,0.401520484
0.211055276,0.362891648,0.440717949,0.398036219
0.216080402,0.355935,0.442564103,0.394550359
0.221105528,0.349536477,0.444717949,0.391424058
0.226130653,0.34239773,0.445538462,0.387217542
0.231155779,0.336494718,0.447589744,0.384171839
0.236180905,0.330163761,0.448717949,0.380418243
