threshold,precision,recall,fmeasure
0,NaN,0,-1
0.005025126,0.701067616,0.020205128,0.039278237
0.010050251,0.706927176,0.040820513,0.077184137
0.015075377,0.666272189,0.05774359,0.106276546
0.020100503,0.618456078,0.071487179,0.128160338
0.025125628,0.603264727,0.087179487,0.1523434
0.030150754,0.584861029,0.101435897,0.172886985
0.035175879,0.562595033,0.113846154,0.189371321
0.040201005,0.546341463,0.126358974,0.205247813
0.045226131,0.52857706,0.137538462,0.218279482
0.050251256,0.511883647,0.148,0.229612539
0.055276382,0.495969042,0.15774359,0.239358805
0.060301508,0.477091339,0.165538462,0.24579304
0.065326633,0.465484311,0.174974359,0.254342154
0.070351759,0.450215353,0.18225641,0.259472877
0.075376884,0.439347363,0.190564103,0.265827312
0.08040201,0.426734649,0.197435897,0.269967043
0.085427136,0.418823038,0.205846154,0.276028057
0.090452261,0.410918408,0.213846154,0.281300594
0.095477387,0.399925317,0.219692308,0.283595922
0.100502513,0.390386662,0.22574359,0.286067065
0.105527638,0.383783784,0.233025641,0.289980855
0.110552764,0.376652693,0.239589744,0.292878636
0.115577889,0.366286243,0.243589744,0.292595787
0.120603015,0.356192728,0.247179487,0.291838217
0.125628141,0.346197503,0.25025641,0.290510775
0.130653266,0.334924966,0.251794872,0.287470726
0.135678392,0.325407252,0.254051282,0.285335791
0.140703518,0.31631619,0.256102564,0.283042394
0.145728643,0.307607632,0.257948718,0.280598014
0.150753769,0.298888626,0.259282051,0.277680141
0.155778894,0.291304348,0.261128205,0.275392104
0.16080402,0.283418311,0.26225641,0.272427019
0.165829146,0.276655202,0.264,0.27017949
0.170854271,0.270005216,0.265435897,0.26770106
0.175879397,0.26309922,0.26625641,0.2646684
0.180904523,0.25697113,0.267487179,0.262123725
0.185929648,0.251078516,0.268615385,0.259551063
0.190954774,0.24577616,0.270051282,0.257342521
0.195979899,0.240200091,0.270871795,0.25461557
0.201005025,0.235523632,0.272410256,0.252627574
0.206030151,0.230815815,0.273641026,0.250410625
0.211055276,0.226163331,0.274666667,0.248066324
0.216080402,0.221974759,0.276,0.246056782
0.221105528,0.217654172,0.276923077,0.243737305
0.226130653,0.214077402,0.278564103,0.242100103
0.231155779,0.210501966,0.28,0.240327479
0.236180905,0.207380575,0.281846154,0.238946133
0.24120603,0.204093697,0.283282051,0.237254649
0.246231156,0.200796236,0.284512821,0.235433906
0.251256281,0.197290011,0.285230769,0.233246666
0.256281407,0.194255112,0.286461538,0.231515252
0.261306533,0.191268759,0.287589744,0.229741909
0.266331658,0.18866283,0.289128205,0.228333063
0.271356784,0.186350499,0.290974359,0.227196284
0.27638191,0.184122275,0.292820513,0.226084891
0.281407035,0.181783633,0.294358974,0.224763098
0.286432161,0.179527069,0.295897436,0.223470178
0.291457286,0.177959883,0.298461538,0.22297142
0.296482412,0.176145245,0.300512821,0.222104306
0.301507538,0.173859068,0.301641026,0.220580515
0.306532663,0.171415281,0.302358974,0.218791747
0.311557789,0.170194508,0.305128205,0.218508997
0.316582915,0.168224299,0.306461538,0.217214306
0.32160804,0.166980714,0.309025641,0.216809383
0.326633166,0.16539343,0.310871795,0.215913948
0.331658291,0.164015477,0.313025641,0.215247902
0.336683417,0.162369633,0.314564103,0.214183456
0.341708543,0.160867978,0.316307692,0.213270634
0.346733668,0.160078137,0.319384615,0.21326576
0.351758794,0.158753484,0.321333333,0.212514838
0.35678392,0.157466154,0.323282051,0.211778144
0.361809045,0.156313119,0.325435897,0.211188392
0.366834171,0.155969098,0.329230769,0.211664634
0.371859296,0.155107127,0.331897436,0.211413452
0.376884422,0.154031686,0.334051282,0.210843179
0.381909548,0.153357913,0.337025641,0.21079642
0.386934673,0.153070155,0.340820513,0.211259099
0.391959799,0.152926197,0.344923077,0.211902587
0.396984925,0.1525165,0.348410256,0.21216001
0.40201005,0.152516072,0.352820513,0.212970128
0.407035176,0.152296711,0.356717949,0.213459355
0.412060302,0.152082703,0.360615385,0.213940187
0.417085427,0.152222222,0.365333333,0.214901961
0.422110553,0.152394223,0.370153846,0.215900933
0.427135678,0.152687364,0.375282051,0.217061162
0.432160804,0.15301493,0.380512821,0.218260972
0.43718593,0.153171885,0.385333333,0.219207655
0.442211055,0.153405885,0.390358974,0.22025463
0.447236181,0.153674478,0.395487179,0.221342058
0.452261307,0.153897691,0.400512821,0.222355085
0.457286432,0.154700655,0.407076923,0.224199288
0.462311558,0.155216285,0.412923077,0.225622058
0.467336683,0.156407323,0.420615385,0.228023353
0.472361809,0.157271149,0.427487179,0.229945934
0.477386935,0.1583408,0.434974359,0.232167296
0.48241206,0.159240375,0.442051282,0.234137332
0.487437186,0.159719175,0.448,0.235484393
0.492462312,0.160477742,0.454769231,0.237239165
0.497487437,0.161256807,0.461641026,0.239020764
0.502512563,0.161884156,0.468102564,0.240571383
0.507537688,0.16238806,0.47425641,0.241935906
0.512562814,0.163229822,0.481435897,0.243799829
0.51758794,0.163710872,0.487589744,0.245121039
0.522613065,0.164319089,0.494153846,0.246627934
0.527638191,0.164375232,0.499076923,0.247300079
0.532663317,0.164530701,0.504307692,0.248114041
0.537688442,0.165014751,0.510564103,0.249417541
0.542713568,0.165424152,0.516615385,0.250603249
0.547738693,0.165468094,0.521538462,0.251228972
0.552763819,0.165704704,0.527076923,0.252140421
0.557788945,0.165681419,0.531794872,0.252649531
0.56281407,0.165563543,0.536205128,0.253006509
0.567839196,0.165322201,0.540205128,0.253166382
0.572864322,0.165396223,0.545230769,0.253801533
0.577889447,0.165345588,0.549846154,0.254238494
0.582914573,0.165571014,0.555384615,0.255093629
0.587939698,0.165494452,0.559897436,0.255475477
0.592964824,0.165384153,0.564307692,0.255799898
0.59798995,0.165424739,0.569230769,0.256351039
0.603015075,0.165346418,0.57374359,0.256711486
0.608040201,0.165240077,0.578153846,0.257021703
0.613065327,0.165455285,0.583692308,0.257826304
0.618090452,0.165753504,0.589538462,0.25875574
0.623115578,0.165989703,0.595179487,0.259583986
0.628140704,0.166449123,0.601641026,0.260757468
0.633165829,0.1665353,0.606769231,0.261342051
0.638190955,0.166312908,0.610769231,0.261436474
0.64321608,0.166537353,0.616410256,0.262227846
0.648241206,0.166895793,0.622564103,0.263226366
0.653266332,0.167085016,0.628102564,0.26395414
0.658291457,0.16691937,0.632307692,0.264116185
0.663316583,0.166809974,0.636717949,0.264361453
0.668341709,0.16692002,0.641948718,0.264948039
0.673366834,0.167288705,0.648205128,0.265942898
0.67839196,0.167835842,0.655179487,0.267218841
0.683417085,0.167983726,0.660615385,0.267856029
0.688442211,0.16807767,0.665846154,0.268403101
0.693467337,0.168170252,0.671076923,0.268943831
0.698492462,0.168287019,0.676410256,0.269519197
0.703517588,0.168503458,0.682153846,0.270250503
0.708542714,0.168465273,0.686871795,0.27056946
0.713567839,0.16877732,0.693025641,0.271447223
0.718592965,0.168911377,0.698461538,0.272035472
0.72361809,0.169215991,0.704615385,0.272895192
0.728643216,0.169736552,0.711692308,0.274100847
0.733668342,0.169788402,0.716820513,0.274546776
0.738693467,0.16993606,0.722358974,0.275144057
0.743718593,0.170057756,0.727794872,0.275695942
0.748743719,0.170511081,0.734666667,0.276782782
0.753768844,0.170678647,0.740307692,0.277401998
0.75879397,0.170957437,0.746461538,0.278200375
0.763819095,0.171092547,0.752,0.278762071
0.768844221,0.171179525,0.757333333,0.279242143
0.773869347,0.171242342,0.762564103,0.279679506
0.778894472,0.171395881,0.768205128,0.280261927
0.783919598,0.171592924,0.774051282,0.280912678
0.788944724,0.171742274,0.779692308,0.281482579
0.793969849,0.17209177,0.78625641,0.282378076
0.798994975,0.17234764,0.792410256,0.28311774
0.804020101,0.172821991,0.799589744,0.284214364
0.809045226,0.173158266,0.806153846,0.285082152
0.814070352,0.173227657,0.811487179,0.285508083
0.819095477,0.173557316,0.818051282,0.286360536
0.824120603,0.173861326,0.824512821,0.287168679
0.829145729,0.173989682,0.830153846,0.287684379
0.834170854,0.174397983,0.837128205,0.288659794
0.83919598,0.17450035,0.842666667,0.289127795
0.844221106,0.174918189,0.84974359,0.290116432
0.849246231,0.175226142,0.856307692,0.290921128
0.854271357,0.175572201,0.863076923,0.291787306
0.859296482,0.175644562,0.868512821,0.292196477
0.864321608,0.175922298,0.874974359,0.292945075
0.869346734,0.176053306,0.880717949,0.293447245
0.874371859,0.176203192,0.886564103,0.293978608
0.879396985,0.176128418,0.891282051,0.29413258
0.884422111,0.176054493,0.896,0.294285089
0.889447236,0.175901248,0.900307692,0.294302047
0.894472362,0.175869284,0.905230769,0.294519062
0.899497487,0.175837676,0.910153846,0.294734045
0.904522613,0.176082287,0.916512821,0.295409841
0.909547739,0.17601066,0.921230769,0.295552887
0.914572864,0.175900844,0.92574359,0.295629104
0.91959799,0.175970074,0.931179487,0.296002869
0.924623116,0.175765286,0.935179487,0.295914062
0.929648241,0.176022854,0.941641026,0.296601409
0.934673367,0.175915332,0.946153846,0.296671491
0.939698492,0.175846895,0.950871795,0.296804969
0.944723618,0.175552788,0.954358974,0.296554801
0.949748744,0.175186728,0.957435897,0.296179961
0.954773869,0.17510454,0.962051282,0.296282258
0.959798995,0.174911792,0.966051282,0.296194969
0.964824121,0.174684106,0.969846154,0.296045835
0.969849246,0.174440401,0.973538462,0.295866841
0.974874372,0.174583151,0.979384615,0.296341123
0.979899497,0.174506166,0.984,0.296440489
0.984924623,0.174448064,0.988717949,0.296569758
0.989949749,0.174282525,0.992820513,0.296514121
0.994974874,0.174082832,0.996717949,0.296397963
1,0,1,0.296100583
