threshold,precision,recall,fmeasure
0,NaN,0,-1
0.005025126,0.380782918,0.010974359,0.021333865
0.010050251,0.428063943,0.024717949,0.046737128
0.015075377,0.424852071,0.036820513,0.067767815
0.020100503,0.407275954,0.047076923,0.084398272
0.025125628,0.412349184,0.059589744,0.104131195
0.030150754,0.437610881,0.075897436,0.129359322
0.035175879,0.459199189,0.092923077,0.154567943
0.040201005,0.481152993,0.111282051,0.180758017
0.045226131,0.495467087,0.128923077,0.204606495
0.050251256,0.501951046,0.145128205,0.225157133
0.055276382,0.499838762,0.158974359,0.241226364
0.060301508,0.494531481,0.171589744,0.25477804
0.065326633,0.483492497,0.18174359,0.264181886
0.070351759,0.469977198,0.19025641,0.270862233
0.075376884,0.45779144,0.198564103,0.276986909
0.08040201,0.444025715,0.205435897,0.280905967
0.085427136,0.435308848,0.213948718,0.286893137
0.090452261,0.422349231,0.219794872,0.289125742
0.095477387,0.410567588,0.225538462,0.291142592
0.100502513,0.399609791,0.231076923,0.292825578
0.105527638,0.38902027,0.236205128,0.29393746
0.110552764,0.378587552,0.240820513,0.294383149
0.115577889,0.370141888,0.246153846,0.295675742
0.120603015,0.358853089,0.249025641,0.294017922
0.125628141,0.348325766,0.251794872,0.292296702
0.130653266,0.340791269,0.256205128,0.292505855
0.135678392,0.3339464,0.260717949,0.292823407
0.140703518,0.326450469,0.264307692,0.292110633
0.145728643,0.320450098,0.268717949,0.292312842
0.150753769,0.314140459,0.272512821,0.291849736
0.155778894,0.306750572,0.274974359,0.289994592
0.16080402,0.301374418,0.278871795,0.289686768
0.165829146,0.295464316,0.281948718,0.288548336
0.170854271,0.290349504,0.285435897,0.287871735
0.175879397,0.285193068,0.288615385,0.28689402
0.180904523,0.279731993,0.291179487,0.285340972
0.185929648,0.275141405,0.294358974,0.284425945
0.190954774,0.27088584,0.297641026,0.283633876
0.195979899,0.266848568,0.300923077,0.282863341
0.201005025,0.263101889,0.304307692,0.282208589
0.206030151,0.258586383,0.306564103,0.280538739
0.211055276,0.255299383,0.310051282,0.280024084
0.216080402,0.252082818,0.313435897,0.279431262
0.221105528,0.249254333,0.317128205,0.279124351
0.226130653,0.246472767,0.320717949,0.278736016
0.231155779,0.243349526,0.323692308,0.27782913
0.236180905,0.241340276,0.328,0.278074866
0.24120603,0.23934087,0.332205128,0.278228751
0.246231156,0.236771625,0.335487179,0.277615107
0.251256281,0.234321793,0.338769231,0.277027594
0.256281407,0.232090694,0.34225641,0.27660809
0.261306533,0.230286494,0.34625641,0.276607948
0.266331658,0.227278811,0.348307692,0.275068848
0.271356784,0.225630583,0.352307692,0.27508609
0.27638191,0.223268412,0.355076923,0.274152677
0.281407035,0.221370661,0.358461538,0.273709766
0.286432161,0.219166148,0.361230769,0.272811774
0.291457286,0.218077299,0.36574359,0.273235767
0.296482412,0.216724781,0.36974359,0.27327168
0.301507538,0.214707969,0.372512821,0.27240681
0.306532663,0.213687638,0.376923077,0.272747514
0.311557789,0.212471396,0.380923077,0.272787367
0.316582915,0.211181173,0.384717949,0.272681012
0.32160804,0.209709599,0.388102564,0.272288983
0.326633166,0.207737641,0.390461538,0.271192478
0.331658291,0.206524076,0.394153846,0.271034629
0.336683417,0.205251734,0.397641026,0.270749677
0.341708543,0.204162537,0.401435897,0.270668372
0.346733668,0.203207731,0.405435897,0.27072561
0.351758794,0.202026856,0.408923077,0.270442598
0.35678392,0.200829295,0.412307692,0.270097759
0.361809045,0.200305434,0.417025641,0.270624646
0.366834171,0.199552986,0.421230769,0.27081204
0.371859296,0.198341562,0.424410256,0.270342665
0.376884422,0.198013715,0.429435897,0.271047095
0.381909548,0.197647828,0.434358974,0.271674632
0.386934673,0.196922935,0.438461538,0.27178232
0.391959799,0.196353054,0.442871795,0.272077124
0.396984925,0.195393526,0.446358974,0.27180464
0.40201005,0.195300377,0.451794872,0.272713202
0.407035176,0.195822569,0.458666667,0.274465278
0.412060302,0.196072494,0.464923077,0.275822203
0.417085427,0.195683761,0.469641026,0.276259427
0.422110553,0.195380458,0.474564103,0.27680067
0.427135678,0.195167752,0.479692308,0.277451504
0.432160804,0.195289945,0.485641026,0.278562184
0.43718593,0.196020874,0.493128205,0.280529786
0.442211055,0.196211205,0.499282051,0.281712963
0.447236181,0.196755938,0.506358974,0.283393605
0.452261307,0.197525026,0.514051282,0.285388908
0.457286432,0.198628001,0.522666667,0.287860815
0.462311558,0.199706994,0.531282051,0.290293656
0.467336683,0.200381388,0.538871795,0.292132332
0.472361809,0.201230096,0.546974359,0.29421825
0.477386935,0.201799582,0.554358974,0.295888761
0.48241206,0.202911402,0.563282051,0.298348544
0.487437186,0.20385403,0.571794872,0.300555286
0.492462312,0.204668838,0.58,0.302568218
0.497487437,0.205144741,0.587282051,0.304073071
0.502512563,0.205902174,0.595384615,0.305985294
0.507537688,0.206707638,0.603692308,0.307965991
0.512562814,0.20687137,0.610153846,0.308982782
0.51758794,0.207686215,0.618564103,0.310964449
0.522613065,0.208690017,0.627589744,0.313224642
0.527638191,0.209573354,0.636307692,0.315299977
0.532663317,0.210573866,0.645435897,0.317547622
0.537688442,0.211489376,0.654358974,0.319663301
0.542713568,0.212125193,0.662461538,0.321351277
0.547738693,0.212749341,0.670564103,0.323015736
0.552763819,0.213329894,0.678564103,0.3246081
0.557788945,0.21354849,0.685435897,0.325642587
0.56281407,0.213889857,0.692717949,0.326856534
0.567839196,0.214319345,0.700307692,0.328198226
0.572864322,0.214554619,0.707282051,0.329235397
0.577889447,0.215279277,0.715897436,0.331017476
0.582914573,0.215318759,0.72225641,0.331739489
0.587939698,0.215485357,0.729025641,0.332646949
0.592964824,0.215762895,0.736205128,0.333720768
0.59798995,0.215827124,0.742666667,0.334457275
0.603015075,0.215535588,0.747897436,0.334633564
0.608040201,0.215395439,0.753641026,0.335035564
0.613065327,0.215112222,0.758871795,0.335205908
0.618090452,0.214747102,0.763794872,0.335239038
0.623115578,0.214302059,0.768410256,0.335137553
0.628140704,0.213835764,0.772923077,0.334992888
0.633165829,0.213292422,0.777128205,0.334717498
0.638190955,0.21272971,0.781230769,0.334401616
0.64321608,0.212286633,0.78574359,0.334264148
0.648241206,0.212207864,0.791589744,0.334692108
0.653266332,0.211993888,0.796923077,0.334899358
0.658291457,0.211783181,0.80225641,0.335104104
0.663316583,0.211763758,0.808307692,0.33560448
0.668341709,0.211723605,0.81425641,0.336063665
0.673366834,0.211519627,0.819589744,0.336257864
0.67839196,0.211266125,0.824717949,0.336366108
0.683417085,0.211303237,0.830974359,0.33693053
0.688442211,0.210822006,0.835179487,0.336661499
0.693467337,0.21065618,0.840615385,0.336888834
0.698492462,0.210441706,0.845846154,0.337031815
0.703517588,0.210356971,0.851589744,0.337376323
0.708542714,0.210298594,0.857435897,0.337757308
0.713567839,0.210665668,0.865025641,0.338816913
0.718592965,0.210605948,0.870871795,0.339185491
0.72361809,0.210473164,0.876410256,0.339430773
0.728643216,0.210170984,0.881230769,0.339396812
0.733668342,0.210188762,0.887384615,0.339873903
0.738693467,0.210182169,0.893435897,0.340306671
