lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,20,64,10,0.1,CNN,10,0.3265625,0.5225,0.40192307692307694
0.01,64,100,20,64,10,0.1,CNN,11,0.31676136363636365,0.5575,0.40398550724637683
0.01,64,100,20,64,10,0.1,CNN,12,0.3046875,0.585,0.4006849315068493
0.01,64,100,20,64,10,1,CNN,10,0.3265625,0.5225000000000001,0.40192307692307694
0.01,64,100,20,64,10,1,CNN,11,0.3380681818181818,0.595,0.43115942028985504
0.01,64,100,20,64,10,1,CNN,12,0.32421875,0.6225,0.4263698630136986
0.01,64,100,20,64,10,0.01,CNN,10,0.4203125,0.6725,0.5173076923076922
0.01,64,100,20,64,10,0.01,CNN,11,0.40198863636363635,0.7075,0.5126811594202899
0.01,64,100,20,64,10,0.01,CNN,12,0.3828125,0.7350000000000001,0.5034246575342466
0.01,64,100,50,64,10,0.1,CNN,10,0.4375,0.7,0.5384615384615384
0.01,64,100,50,64,10,0.1,CNN,11,0.4133522727272727,0.7275,0.5271739130434783
0.01,64,100,50,64,10,0.1,CNN,12,0.4505208333333333,0.8022282608695652,0.5770038809574595
0.01,64,100,50,64,10,1,CNN,10,0.5140625,0.7528804347826087,0.6109629532317393
0.01,64,100,50,64,10,1,CNN,11,0.48863636363636365,0.7903804347826088,0.6039148540017693
0.01,64,100,50,64,10,1,CNN,12,0.4869791666666667,0.8311413043478261,0.614129753196285
0.01,64,100,50,64,10,0.01,CNN,10,0.4203125,0.6725,0.5173076923076922
0.01,64,100,50,64,10,0.01,CNN,11,0.40198863636363635,0.7075,0.5126811594202899
0.01,64,100,50,64,10,0.01,CNN,12,0.3828125,0.7350000000000001,0.5034246575342466
