lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,20,64,10,0.01,CNN,2,0.2421875,0.31000000000000005,0.2719298245614035
0.01,64,100,20,64,10,0.01,CNN,3,0.2760416666666667,0.53,0.363013698630137
0.01,64,100,20,64,10,0.01,CNN,4,0.3046875,0.78,0.43820224719101125
0.01,64,100,20,64,10,0.1,CNN,2,0.2421875,0.31000000000000005,0.2719298245614035
0.01,64,100,20,64,10,0.1,CNN,3,0.2760416666666667,0.53,0.363013698630137
0.01,64,100,20,64,10,0.1,CNN,4,0.3046875,0.78,0.43820224719101125
0.01,64,100,20,64,10,1,CNN,2,0.1640625,0.21000000000000002,0.18421052631578946
0.01,64,100,20,64,10,1,CNN,3,0.22395833333333334,0.43000000000000005,0.2945205479452055
0.01,64,100,20,64,10,1,CNN,4,0.265625,0.68,0.38202247191011235
0.01,64,100,50,64,10,0.01,CNN,2,0.1640625,0.21000000000000002,0.18421052631578946
0.01,64,100,50,64,10,0.01,CNN,3,0.328125,0.63,0.4315068493150685
0.01,64,100,50,64,10,0.01,CNN,4,0.34375,0.88,0.49438202247191015
0.01,64,100,50,64,10,0.1,CNN,2,0.1640625,0.21000000000000002,0.18421052631578946
0.01,64,100,50,64,10,0.1,CNN,3,0.25,0.48000000000000004,0.32876712328767127
0.01,64,100,50,64,10,0.1,CNN,4,0.28515625,0.73,0.4101123595505618
0.01,64,100,50,64,10,1,CNN,2,0.2421875,0.31000000000000005,0.2719298245614035
0.01,64,100,50,64,10,1,CNN,3,0.3020833333333333,0.5800000000000001,0.3972602739726028
0.01,64,100,50,64,10,1,CNN,4,0.32421875,0.8300000000000001,0.46629213483146065
0.01,64,100,50,64,20,0.01,CNN,2,0.1640625,0.21000000000000002,0.18421052631578946
0.01,64,100,50,64,20,0.01,CNN,3,0.25,0.48000000000000004,0.32876712328767127
0.01,64,100,50,64,20,0.01,CNN,4,0.28515625,0.73,0.4101123595505618
0.01,64,100,50,64,30,0.01,CNN,2,0.1640625,0.21000000000000002,0.18421052631578946
