lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,128,100,20,64,10,0.01,RNN,26,0.9852764423076923,0.017564816798800086,0.03451433623847417
0.01,128,100,20,64,10,0.01,RNN,30,1.0,0.020569959288622243,0.04031072853243755
0.01,128,100,20,64,10,0.01,RNN,35,1.0,0.02399828583672595,0.046871730487549695
0.01,128,100,20,64,10,0.01,CNN,26,0.19561298076923078,0.17297121278278546,0.18359666589953505
0.01,128,100,20,64,10,0.01,CNN,30,0.7130208333333333,0.16748052097838728,0.2712479658329605
0.01,128,100,20,64,10,0.01,CNN,35,0.24308035714285714,0.2547615741371445,0.24878392331602783
0.01,128,100,20,64,10,0.1,RNN,26,0.09945913461538461,0.05476828773700996,0.07063862469597731
0.01,128,100,20,64,10,0.1,RNN,30,0.15807291666666667,0.25793627398848723,0.19601845372349355
0.01,128,100,20,64,10,0.1,RNN,35,0.12589285714285714,0.17373955175756775,0.14599601324667316
0.01,128,100,20,64,10,0.1,CNN,26,0.3401442307692308,0.23254394639444356,0.2762357768869145
0.01,128,100,20,64,10,0.1,CNN,30,0.10572916666666667,0.07581049490661566,0.08830445514330182
0.01,128,100,20,64,10,0.1,CNN,35,0.08839285714285715,0.09234946103330269,0.09032785236693167
