lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,50,64,30,0.1,CNN,1,0.28125,0.36,0.3157894736842105
0.01,64,100,50,64,30,0.1,CNN,2,0.0625,0.16,0.0898876404494382
0.01,64,100,50,64,30,0.1,CNN,4,0.140625,0.36,0.20224719101123595
0.01,64,100,50,64,30,0.1,CNN,1,0.28125,0.36,0.3157894736842105
0.01,64,100,50,64,30,0.1,CNN,2,0.0625,0.16,0.0898876404494382
0.01,64,100,50,64,30,0.1,CNN,4,0.140625,0.36,0.20224719101123595
0.01,64,100,50,64,10,0.1,CNN,1,0.203125,0.26,0.22807017543859648
0.01,64,100,50,64,10,0.1,CNN,1,0.203125,0.26,0.22807017543859648
0.01,64,100,50,64,10,0.1,CNN,2,0.3828125,0.98,0.550561797752809
0.01,64,100,50,64,10,0.1,CNN,4,0.15234375,0.78,0.2549019607843137
0.01,64,100,50,64,30,0.1,CNN,1,0.28125,0.36,0.3157894736842105
0.01,64,100,50,64,30,0.1,CNN,2,0.265625,0.68,0.38202247191011235
0.01,64,100,50,64,30,0.1,CNN,4,0.171875,0.88,0.28758169934640526
0.01,64,100,20,64,10,0.1,CNN,1,0.28125,0.36,0.3157894736842105
0.01,64,100,20,64,10,0.1,CNN,2,0.2265625,0.58,0.3258426966292135
0.01,64,100,50,64,10,0.1,CNN,1,0.203125,0.26,0.22807017543859648
0.01,64,100,50,64,10,0.1,CNN,2,0.3828125,0.98,0.550561797752809
