lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,32,100,20,64,10,0.1,CNN,8,0.50390625,0.2911046511627907,0.369025010626774
0.01,32,100,20,64,10,0.1,CNN,9,0.4479166666666667,0.2911046511627907,0.3528737855166717
0.01,32,100,20,64,10,0.1,CNN,10,0.403125,0.2911046511627907,0.33807706802336535
0.01,32,100,20,64,10,0.1,CNN,12,0.3359375,0.2911046511627907,0.3119183250078233
0.01,32,100,20,64,10,0.1,CNN,15,0.26875,0.2911046511627907,0.2794810218599097
0.01,32,100,20,64,10,0.1,CNN,20,0.2015625,0.2911046511627907,0.23819644200557596
0.01,32,100,20,64,10,1,CNN,8,0.3515625,0.20930232558139536,0.2623906705539359
0.01,32,100,20,64,10,1,CNN,9,0.3125,0.20930232558139536,0.25069637883008355
0.01,32,100,20,64,10,1,CNN,10,0.28125,0.20930232558139536,0.24
0.01,32,100,20,64,10,1,CNN,12,0.234375,0.20930232558139536,0.22113022113022113
0.01,32,100,20,64,10,1,CNN,15,0.1875,0.20930232558139536,0.1978021978021978
0.01,32,100,20,64,10,1,CNN,20,0.140625,0.20930232558139536,0.16822429906542055
0.01,32,100,20,64,10,0.01,CNN,8,0.41015625,0.2625,0.3201219512195122
0.01,32,100,20,64,10,0.01,CNN,9,0.3645833333333333,0.2625,0.30523255813953487
0.01,32,100,20,64,10,0.01,CNN,10,0.328125,0.2625,0.2916666666666667
0.01,32,100,20,64,10,0.01,CNN,12,0.2734375,0.2625,0.2678571428571429
0.01,32,100,20,64,10,0.01,CNN,15,0.21875,0.2625,0.23863636363636365
0.01,32,100,20,64,10,0.01,CNN,20,0.1640625,0.2625,0.20192307692307693
0.01,32,100,50,64,10,0.1,CNN,8,0.4140625,0.24302325581395348,0.3062821434496488
0.01,32,100,50,64,10,0.1,CNN,9,0.3680555555555556,0.24302325581395348,0.2927480310798668
0.01,32,100,50,64,10,0.1,CNN,10,0.33125,0.24302325581395348,0.2803594026828651
0.01,32,100,50,64,10,0.1,CNN,12,0.2760416666666667,0.24302325581395348,0.25848228870117146
0.01,32,100,50,64,10,0.1,CNN,15,0.22083333333333333,0.24302325581395348,0.23139753499059956
0.01,32,100,50,64,10,0.1,CNN,20,0.165625,0.24302325581395348,0.19699448692868576
0.01,32,100,50,64,10,1,CNN,8,0.3515625,0.22499999999999998,0.274390243902439
0.01,32,100,50,64,10,1,CNN,9,0.3125,0.22499999999999998,0.2616279069767442
0.01,32,100,50,64,10,1,CNN,10,0.28125,0.22499999999999998,0.25
0.01,32,100,50,64,10,1,CNN,12,0.234375,0.22499999999999998,0.22959183673469385
0.01,32,100,50,64,10,1,CNN,15,0.1875,0.22499999999999998,0.20454545454545453
0.01,32,100,50,64,10,1,CNN,20,0.140625,0.22499999999999998,0.17307692307692307
0.01,32,100,50,64,10,0.01,CNN,8,0.34375,0.22,0.2682926829268293
0.01,32,100,50,64,10,0.01,CNN,9,0.3055555555555556,0.22,0.2558139534883721
0.01,32,100,50,64,10,0.01,CNN,10,0.275,0.22,0.24444444444444446
0.01,32,100,50,64,10,0.01,CNN,12,0.22916666666666666,0.22,0.22448979591836735
