lr,seq_len,hidden_size,rep_size,batch_size,max_epoch,lambdaa,network,top_k,precision,recall,fmeasure
0.01,64,100,20,64,10,0.1,CNN,1,0.328125,0.42,0.368421052631579
0.01,64,100,20,64,10,0.1,CNN,2,0.3828125,0.98,0.550561797752809
0.01,64,100,20,64,10,0.1,CNN,3,0.22916666666666666,0.88,0.36363636363636365
0.01,64,100,20,64,10,1,CNN,1,0.59375,0.76,0.6666666666666666
0.01,64,100,20,64,10,1,CNN,2,0.2265625,0.58,0.3258426966292135
0.01,64,100,20,64,10,1,CNN,3,0.2552083333333333,0.98,0.4049586776859504
0.01,64,100,50,64,10,0.1,CNN,1,0.328125,0.42,0.368421052631579
0.01,64,100,50,64,10,0.1,CNN,2,0.3828125,0.98,0.550561797752809
0.01,64,100,50,64,10,0.1,CNN,3,0.22916666666666666,0.88,0.36363636363636365
0.01,64,100,50,64,10,1,CNN,1,0.59375,0.76,0.6666666666666666
0.01,64,100,50,64,10,1,CNN,2,0.34375,0.88,0.49438202247191015
0.01,64,100,50,64,10,1,CNN,3,0.2552083333333333,0.98,0.4049586776859504
