lr,n_window,epoch,dsName,precision,recall,fmeasure
0.01,5,5,smtp,Error,Error,Error
0.01,5,5,smtp,0.002197802197802198,0.1,0.004301075268817203
0.01,10,5,smtp,0.001558846453624318,0.04444444444444444,0.003012048192771084
0.001,5,5,smtp,0.0017574692442882249,0.1,0.0034542314335060447
0.001,10,5,smtp,0.0009329620476736483,0.4222222222222222,0.001861810152213639
0.0001,5,5,smtp,0.0,0.0,0.0
0.0001,10,5,smtp,0.0,0.0,0.0
0.1,5,5,smtp,0.00033628988187817897,1.0,0.0006723536580241206
0.1,10,5,smtp,0.0041841004184100415,0.02222222222222222,0.00704225352112676
0.15,5,5,smtp,0.0004119040263618577,0.5111111111111111,0.0008231446810985404
