lr,n_window,epoch,precision,recall,fmeasure
0.0001,8,5,Error,Error,Error
0.0001,8,5,0.09501106795669398,0.9293097083794758,0.17239659664323861
0.0001,8,10,0.09600996776406102,0.9678848283499446,0.17469131630049634
0.0001,8,20,0.09662838149302694,0.8763381321520856,0.17406382267615209
0.0001,8,40,0.0906860212602996,0.8920265780730897,0.16463479002663076
0.0001,8,80,0.08533810036285712,0.8754152823920266,0.15551603266539718
0.001,8,5,0.09453360120429417,0.9844961240310077,0.17250305862709292
0.001,8,10,0.0900762511724478,0.9180509413067552,0.1640558607984485
0.001,8,20,0.08745840737629237,0.853451458102621,0.15865814152270155
0.001,8,40,0.08749581506187383,0.834625322997416,0.15838748271323813
0.001,8,80,0.09105642249365181,0.8898117386489479,0.16520685821802356
0.01,8,5,0.09677766436796374,0.9584717607973422,0.17580423388164496
0.01,8,10,0.09541888432146321,0.9765596160944998,0.17385092892250326
0.01,8,20,0.09984197803288056,0.8890734588409006,0.1795236466887916
0.01,8,40,0.09446827073557862,0.9424141749723145,0.1717229138073619
0.01,8,80,0.10065168543165749,0.8929494278331487,0.18091136114234083
0.1,8,5,0.20204159351513573,0.9758213362864525,0.33476984932804554
0.1,8,10,0.15921617427025148,0.9994462901439646,0.27467535989571906
0.1,8,20,0.20204159351513573,0.9758213362864525,0.33476984932804554
0.1,8,40,0.15921617427025148,0.9994462901439646,0.27467535989571906
0.1,8,80,0.20204159351513573,0.9758213362864525,0.33476984932804554
