lr,n_window,epoch,lm,dsName,precision,recall,fmeasure
0.01,5,5,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,50,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,100,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,200,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,400,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,800,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,5,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,50,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,100,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,200,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,400,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,800,"(0.999, 1)",uni_pointg,Error,Error,Error
0.0001,5,5,"(0.999, 1)",uni_pointg,Error,Error,Error
0.0001,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,5,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,50,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,100,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,200,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,400,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,800,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,5,"(0.999, 1)",uni_pointg,Error,Error,Error
0.001,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
0.01,5,5,"(0.999, 1)",uni_pointg,0.0860042735042735,0.052233296419342934,0.06499371645148544
0.01,5,10,"(0.999, 1)",uni_pointg,Error,Error,Error
