pattern_length,nm_size,top_k,precision,recall,fmeasure
70,280,25,0.4028571428571428,0.39341517857142855,0.3980801806888763
70,280,28,0.39540816326530603,0.43247767857142855,0.4131130063965885
70,280,30,0.3935960591133005,0.46372767857142855,0.42579338181020654
70,280,35,0.4179723502304148,0.5775669642857143,0.4849773744902867
70,280,40,0.41038961038961047,0.6540178571428571,0.504322154377441
70,280,45,0.3765873015873017,0.6902901785714286,0.48731840439964075
75,300,28,0.3761904761904762,0.4408482142857143,0.40596094552929085
75,300,30,0.3917241379310345,0.49330357142857145,0.436684443238467
75,300,35,0.3965591397849462,0.5876116071428571,0.47354131218312917
75,300,40,0.3966666666666666,0.67578125,0.4999028701860036
75,300,45,0.343063063063063,0.67578125,0.4550952144760819
64,256,28,0.48939732142857145,0.48939732142857145,0.48939732142857145
64,256,30,0.4979166666666667,0.5334821428571429,0.5150862068965518
64,256,35,0.5166015625,0.6439732142857143,0.5732979474696478
64,256,40,0.48973214285714284,0.7014508928571429,0.5767762611931307
64,256,45,0.428515625,0.7014508928571429,0.5320204855795347
55,220,28,0.5467532467532469,0.46986607142857145,0.5054021608643458
55,220,30,0.5709090909090909,0.5256696428571429,0.547356188262638
55,220,35,0.5532467532467532,0.5943080357142857,0.5730427764326069
55,220,40,0.5862470862470861,0.7170758928571429,0.6450951292126477
55,220,45,0.5196280991735537,0.7170758928571429,0.602590087150438
