pattern_length,nm_size,top_k,precision,recall,fmeasure
50,100,1,0.08,0.08,0.08
50,100,2,0.5,1.0,0.6666666666666666
50,100,4,0.16666666666666666,1.0,0.2857142857142857
45,90,1,0.06666666666666667,0.06,0.06315789473684212
45,90,2,0.5333333333333333,0.96,0.6857142857142858
45,90,4,0.17777777777777778,0.96,0.3
55,110,1,0.07272727272727272,0.08,0.0761904761904762
55,110,2,0.45454545454545453,1.0,0.625
55,110,4,0.15151515151515152,1.0,0.2631578947368421
60,120,1,0.23333333333333334,0.28,0.2545454545454545
60,120,2,0.4166666666666667,1.0,0.5882352941176471
60,120,4,0.1388888888888889,1.0,0.24390243902439027
