pattern_length,nm_size,top_k,precision,recall,fmeasure
45,180,1,0.5111111111111111,0.23,0.31724137931034485
45,180,2,0.43333333333333335,0.39,0.4105263157894737
45,180,3,0.5333333333333333,0.73,0.616358839050132
45,180,4,0.5555555555555556,1.0,0.7142857142857143
45,180,5,0.3703703703703704,1.0,0.5405405405405406
45,200,1,0.5111111111111111,0.23,0.31724137931034485
45,200,2,0.43333333333333335,0.39,0.4105263157894737
45,200,3,0.5333333333333333,0.73,0.616358839050132
45,200,4,0.5555555555555556,1.0,0.7142857142857143
45,200,5,0.3703703703703704,1.0,0.5405405405405406
45,220,1,0.5111111111111111,0.23,0.31724137931034485
45,220,2,0.43333333333333335,0.39,0.4105263157894737
45,220,3,0.5333333333333333,0.73,0.616358839050132
45,220,4,0.5555555555555556,1.0,0.7142857142857143
45,220,5,0.3703703703703704,1.0,0.5405405405405406
45,240,1,0.5111111111111111,0.23,0.31724137931034485
45,240,2,0.43333333333333335,0.39,0.4105263157894737
45,240,3,0.5333333333333333,0.73,0.616358839050132
45,240,4,0.5555555555555556,1.0,0.7142857142857143
45,240,5,0.3703703703703704,1.0,0.5405405405405406
50,180,1,0.46,0.23,0.30666666666666664
50,180,2,0.4,0.4,0.4000000000000001
50,180,3,0.48,0.73,0.5791735537190082
50,180,4,0.5,1.0,0.6666666666666666
50,180,5,0.3333333333333333,1.0,0.5
50,200,1,0.46,0.23,0.30666666666666664
50,200,2,0.4,0.4,0.4000000000000001
50,200,3,0.48,0.73,0.5791735537190082
50,200,4,0.5,1.0,0.6666666666666666
50,200,5,0.3333333333333333,1.0,0.5
50,220,1,0.46,0.23,0.30666666666666664
50,220,2,0.4,0.4,0.4000000000000001
50,220,3,0.48,0.73,0.5791735537190082
50,220,4,0.5,1.0,0.6666666666666666
50,220,5,0.3333333333333333,1.0,0.5
50,240,1,0.46,0.23,0.30666666666666664
50,240,2,0.4,0.4,0.4000000000000001
50,240,3,0.48,0.73,0.5791735537190082
50,240,4,0.5,1.0,0.6666666666666666
50,240,5,0.3333333333333333,1.0,0.5
55,180,1,0.41818181818181815,0.23,0.2967741935483871
55,180,2,0.3545454545454545,0.39,0.37142857142857144
55,180,3,0.43636363636363634,0.73,0.5462197973499611
55,180,4,0.45454545454545453,1.0,0.625
55,180,5,0.30303030303030304,1.0,0.4651162790697675
55,200,1,0.41818181818181815,0.23,0.2967741935483871
55,200,2,0.3545454545454545,0.39,0.37142857142857144
55,200,3,0.43636363636363634,0.73,0.5462197973499611
55,200,4,0.45454545454545453,1.0,0.625
55,200,5,0.30303030303030304,1.0,0.4651162790697675
55,220,1,0.41818181818181815,0.23,0.2967741935483871
55,220,2,0.3545454545454545,0.39,0.37142857142857144
55,220,3,0.43636363636363634,0.73,0.5462197973499611
55,220,4,0.45454545454545453,1.0,0.625
55,220,5,0.30303030303030304,1.0,0.4651162790697675
55,240,1,0.41818181818181815,0.23,0.2967741935483871
55,240,2,0.3545454545454545,0.39,0.37142857142857144
55,240,3,0.43636363636363634,0.73,0.5462197973499611
55,240,4,0.45454545454545453,1.0,0.625
55,240,5,0.30303030303030304,1.0,0.4651162790697675
60,180,1,0.38333333333333336,0.23,0.2875
60,180,2,0.33333333333333337,0.4,0.3636363636363637
60,180,3,0.35,0.67,0.4598039215686274
60,180,4,0.2333333333333333,0.67,0.3461254612546125
60,180,5,0.175,0.67,0.2775147928994083
60,200,1,0.38333333333333336,0.23,0.2875
60,200,2,0.33333333333333337,0.4,0.3636363636363637
60,200,3,0.35,0.67,0.4598039215686274
60,200,4,0.2333333333333333,0.67,0.3461254612546125
60,200,5,0.175,0.67,0.2775147928994083
60,220,1,0.38333333333333336,0.23,0.2875
60,220,2,0.33333333333333337,0.4,0.3636363636363637
60,220,3,0.35,0.67,0.4598039215686274
60,220,4,0.2333333333333333,0.67,0.3461254612546125
60,220,5,0.175,0.67,0.2775147928994083
60,240,1,0.38333333333333336,0.23,0.2875
60,240,2,0.33333333333333337,0.4,0.3636363636363637
60,240,3,0.35,0.67,0.4598039215686274
60,240,4,0.2333333333333333,0.67,0.3461254612546125
60,240,5,0.175,0.67,0.2775147928994083
