pattern_length,nm_size,top_k,precision,recall,fmeasure
60,240,2,0.4083333333333333,0.49,0.4454545454545455
60,240,3,0.4833333333333334,0.8300000000000001,0.6109137055837564
60,240,4,0.32222222222222224,0.8300000000000001,0.4642237222757956
55,220,2,0.4636363636363636,0.51,0.4857142857142857
55,220,3,0.5272727272727272,0.8300000000000001,0.644876088412592
55,220,4,0.3515151515151515,0.8300000000000001,0.4938702231341369
50,200,2,0.49,0.49,0.49
50,200,3,0.5800000000000001,0.8300000000000001,0.6828368794326242
50,200,4,0.3866666666666667,0.8300000000000001,0.5275616438356165
45,180,2,0.5555555555555556,0.5,0.5263157894736842
45,180,3,0.6444444444444444,0.8300000000000001,0.7255463451394122
45,180,4,0.4296296296296296,0.8300000000000001,0.5661864157600706
