pattern_length,nm_size,top_k,precision,recall,fmeasure
60,240,2,0.36666666666666664,0.44,0.4
60,240,3,0.39166666666666666,0.72,0.5073463268365817
60,240,4,0.2611111111111111,0.72,0.3832389580973953
50,200,2,0.64,0.64,0.64
50,200,3,0.4666666666666666,0.7,0.5599999999999999
50,200,4,0.35,0.7,0.4666666666666667
55,220,2,0.43636363636363634,0.48,0.4571428571428572
55,220,3,0.44545454545454544,0.74,0.5561349693251533
55,220,4,0.29696969696969694,0.74,0.4238457042665108
45,180,2,0.47777777777777775,0.43000000000000005,0.45263157894736844
45,180,3,0.5666666666666667,0.76,0.6492462311557788
45,180,4,0.5111111111111111,0.94,0.6621745788667688
