lr,beta,n_latent,epoch,dsName,precision,recall,fmeasure
0.01,0.01,8,5,dlr,0.03598971722365039,1.0,0.06947890818858561
0.01,0.01,8,10,dlr,Error,Error,Error
0.01,0.01,8,5,dlr,0.03598971722365039,1.0,0.06947890818858561
0.01,0.001,8,5,dlr,0.125,0.011904761904761904,0.021739130434782605
0.01,0.005,8,5,dlr,0.515625,0.07857142857142857,0.13636363636363638
0.001,0.01,8,5,dlr,0.1194225721784777,0.21666666666666667,0.15397631133671746
0.001,0.001,8,5,dlr,0.141287284144427,0.21428571428571427,0.17029328287606435
0.001,0.005,8,5,dlr,0.18009478672985782,0.18095238095238095,0.1805225653206651
0.0001,0.01,8,5,dlr,0.24066390041493776,0.1380952380952381,0.17549167927382753
0.0001,0.001,8,5,dlr,0.20703125,0.1261904761904762,0.15680473372781065
0.0001,0.005,8,5,dlr,0.22727272727272727,0.08333333333333333,0.1219512195121951
