lr,beta,n_latent,epoch,precision,recall,fmeasure
0.01,0.01,8,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,8,10,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,16,5,1.0,0.499077150239941,0.665845850775671
0.01,0.01,16,10,1.0,0.499077150239941,0.665845850775671
0.01,0.01,32,5,1.0,0.499077150239941,0.665845850775671
0.01,0.01,32,10,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,64,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.01,64,10,1.0,0.5009228497600591,0.6674864731923266
0.01,0.001,8,5,1.0,0.499077150239941,0.665845850775671
0.01,0.001,8,10,1.0,0.499077150239941,0.665845850775671
0.01,0.001,16,5,1.0,0.499077150239941,0.665845850775671
0.01,0.001,16,10,1.0,0.5116279069767442,0.676923076923077
0.01,0.001,32,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.001,32,10,1.0,0.499077150239941,0.665845850775671
0.01,0.001,64,5,1.0,0.499077150239941,0.665845850775671
0.01,0.001,64,10,1.0,0.4977851605758583,0.6646950092421442
0.01,0.02,8,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.02,8,10,1.0,0.5009228497600591,0.6674864731923266
0.01,0.02,16,5,1.0,0.5009228497600591,0.6674864731923266
0.01,0.02,16,10,1.0,0.499077150239941,0.665845850775671
0.01,0.02,32,5,1.0,0.48744924326319683,0.6554163047524507
0.01,0.02,32,10,1.0,0.499077150239941,0.665845850775671
0.01,0.02,64,5,1.0,0.499077150239941,0.665845850775671
0.01,0.02,64,10,1.0,0.5009228497600591,0.6674864731923266
