lr,beta,n_latent,epoch,lm,dsName,precision,recall,fmeasure
0.01,0.01,8,5,"(0.97, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.96, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.97, 1.7)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.95, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.97, 1.8)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.95, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.94, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.93, 1.6)",twitter,1.0,0.013513513513513514,0.026666666666666665
0.01,0.01,8,5,"(0.92, 1.6)",twitter,0.5,0.013513513513513514,0.026315789473684213
0.01,0.01,8,5,"(0.91, 1.6)",twitter,0.5,0.013513513513513514,0.026315789473684213
