S,delta,batch_size,freq_warmup,sin_warmup,epoch,dsName,precision,recall,fmeasure
5,0.05,180,10,10,5,smtp,0.0003532944709415298,0.22222222222222224,0.0007054673721340388
5,0.05,180,10,10,5,smtp,0.00028985507246376805,0.5777777777777777,0.00057941946626553
5,0.05,180,10,10,10,smtp,0.0014964459408903852,0.32222222222222224,0.0029790567176444906
5,0.05,180,10,10,15,smtp,0.004665629860031105,0.32222222222222224,0.009198075804831634
5,0.04,180,10,10,5,smtp,0.00035157108327840036,0.4222222222222222,0.0007025571694341411
5,0.04,180,10,10,10,smtp,0.004615384615384616,0.32222222222222224,0.009100418410041842
5,0.04,180,10,10,15,smtp,0.0021231422505307855,0.02222222222222222,0.0038759689922480615
5,0.03,180,10,10,5,smtp,0.00036163095560980016,0.4222222222222222,0.0007226429715839667
5,0.03,180,10,10,10,smtp,0.0055147058823529415,0.32222222222222224,0.010843824005982801
5,0.03,180,10,10,15,smtp,0.0017331022530329288,0.02222222222222222,0.0032154340836012857
5,0.06,180,10,10,5,smtp,0.0005788951372808468,0.4222222222222222,0.0011562050394891832
5,0.06,180,10,10,10,smtp,0.001049317943336831,0.02222222222222222,0.0020040080160320644
5,0.06,180,10,10,15,smtp,0.005050505050505051,0.32222222222222224,0.009945130315500688
5,0.07,180,10,10,5,smtp,0.0003150226422524119,0.4222222222222222,0.0006295755542439399
5,0.07,180,10,10,10,smtp,0.0010504201680672268,0.02222222222222222,0.0020060180541624875
5,0.07,180,10,10,15,smtp,0.003937007874015748,0.24444444444444446,0.007749207467418105
10,0.05,180,10,10,5,smtp,0.0005501558774986246,0.32222222222222224,0.001098436306476355
10,0.05,180,10,10,10,smtp,0.002554278416347382,0.12222222222222223,0.005003980438985557
10,0.05,180,10,10,15,smtp,0.004807692307692308,0.32222222222222224,0.009474028095393662
10,0.04,180,10,10,5,smtp,0.00034954340892209547,0.4222222222222222,0.0006985085463899286
10,0.04,180,10,10,10,smtp,0.0029400955531054757,0.32222222222222224,0.005827022818319958
10,0.04,180,10,10,15,smtp,0.006097560975609756,0.32222222222222224,0.011968633924886504
10,0.03,180,10,10,5,smtp,0.0003602629919841484,0.4222222222222222,0.0007199117160895532
10,0.03,180,10,10,10,smtp,0.0031120331950207467,0.32222222222222224,0.006164529157514348
10,0.03,180,10,10,15,smtp,0.004273504273504274,0.22222222222222224,0.008385744234800839
10,0.06,180,10,10,5,smtp,0.00032544137987145064,0.4222222222222222,0.0006503814572823468
10,0.06,180,10,10,10,smtp,0.0049813200498132005,0.24444444444444446,0.009763674692111394
10,0.06,180,10,10,15,smtp,0.005244755244755245,0.24444444444444446,0.010269176909911313
10,0.07,180,10,10,5,smtp,0.00031719598747075847,0.4222222222222222,0.0006339157434226028
10,0.07,180,10,10,10,smtp,0.0011750881316098707,0.02222222222222222,0.002232142857142857
10,0.07,180,10,10,15,smtp,0.0036036036036036037,0.22222222222222224,0.0070921985815602835
15,0.05,180,10,10,5,smtp,0.0003424510937031805,0.4222222222222222,0.0006843471350842714
15,0.05,180,10,10,10,smtp,0.0018416206261510127,0.32222222222222224,0.0036623097808928455
15,0.05,180,10,10,15,smtp,0.002178649237472767,0.02222222222222222,0.003968253968253968
15,0.04,180,10,10,5,smtp,0.0008355614973262032,0.3888888888888889,0.0016675401400733716
15,0.04,180,10,10,10,smtp,0.0012004801920768306,0.02222222222222222,0.002277904328018223
15,0.04,180,10,10,15,smtp,0.006134969325153374,0.32222222222222224,0.012040689225659124
15,0.03,180,10,10,5,smtp,0.0003628611602485599,0.4222222222222222,0.0007250991644663247
15,0.03,180,10,10,10,smtp,0.003215434083601286,0.12222222222222223,0.006266021076616349
15,0.03,180,10,10,15,smtp,0.00819672131147541,0.32222222222222224,0.015986769570011026
15,0.06,180,10,10,5,smtp,0.0007013852358407856,0.34444444444444444,0.0013999198432992949
15,0.06,180,10,10,10,smtp,0.002576489533011272,0.32222222222222224,0.0051121026827521615
15,0.06,180,10,10,15,smtp,0.003405704555129842,0.32222222222222224,0.006740169375808022
15,0.07,180,10,10,5,smtp,0.00031787658441610045,0.4222222222222222,0.000635274892222689
15,0.07,180,10,10,10,smtp,0.0023166023166023165,0.32222222222222224,0.004600132187706544
15,0.07,180,10,10,15,smtp,0.004032258064516129,0.32222222222222224,0.007964844822850864
20,0.05,180,10,10,5,smtp,0.0003428473472186509,0.4222222222222222,0.000685138357380788
20,0.05,180,10,10,10,smtp,0.001532567049808429,0.32222222222222224,0.0030506245890861276
20,0.05,180,10,10,15,smtp,0.00539568345323741,0.32222222222222224,0.010613639136269367
20,0.04,180,10,10,5,smtp,0.0006760182524928173,0.34444444444444444,0.00134938815041325
20,0.04,180,10,10,10,smtp,0.001288659793814433,0.02222222222222222,0.0024360535931790502
20,0.04,180,10,10,15,smtp,0.0014814083255147894,0.6444444444444445,0.0029560215347867675
20,0.03,180,10,10,5,smtp,0.0003737444522307872,0.4222222222222222,0.0007468278242497943
20,0.03,180,10,10,10,smtp,0.006896551724137931,0.5222222222222223,0.013613323678493845
20,0.03,180,10,10,15,smtp,0.008333333333333333,0.32222222222222224,0.016246498599439774
20,0.06,180,10,10,5,smtp,0.0003268775026558797,0.4222222222222222,0.0006532492704666865
20,0.06,180,10,10,10,smtp,0.0005047955577990914,0.02222222222222222,0.0009871668311944718
20,0.06,180,10,10,15,smtp,0.004784688995215311,0.32222222222222224,0.009429361079499267
20,0.07,180,10,10,5,smtp,0.0002603540815509092,0.4222222222222222,0.0005203872776898175
20,0.07,180,10,10,10,smtp,0.000999000999000999,0.02222222222222222,0.0019120458891013384
20,0.07,180,10,10,15,smtp,0.00340522133938706,0.32222222222222224,0.00673922305279058
25,0.05,180,10,10,5,smtp,0.0006358896095637797,0.5444444444444445,0.0012702955640760416
25,0.05,180,10,10,10,smtp,0.002642007926023778,0.22222222222222224,0.005221932114882507
25,0.05,180,10,10,15,smtp,0.004934210526315789,0.32222222222222224,0.00971958440397721
25,0.04,180,10,10,5,smtp,0.00036424896416700813,0.4222222222222222,0.0007278699985873575
25,0.04,180,10,10,10,smtp,0.0011299435028248588,0.02222222222222222,0.002150537634408602
25,0.04,180,10,10,15,smtp,0.005952380952380952,0.32222222222222224,0.011688835147118097
25,0.03,180,10,10,5,smtp,0.00037569268338499107,0.4222222222222222,0.0007507173796012308
25,0.03,180,10,10,10,smtp,0.0031936127744510976,0.32222222222222224,0.006324541675185716
25,0.03,180,10,10,15,smtp,0.007653061224489796,0.32222222222222224,0.014951022512459188
25,0.06,180,10,10,5,smtp,0.0003268775026558797,0.4222222222222222,0.0006532492704666865
25,0.06,180,10,10,10,smtp,0.0031779661016949155,0.32222222222222224,0.006293858062649209
25,0.06,180,10,10,15,smtp,0.0019342359767891683,0.02222222222222222,0.003558718861209964
25,0.07,180,10,10,5,smtp,0.000322801920671428,0.4222222222222222,0.0006451106343517168
25,0.07,180,10,10,10,smtp,0.0015864621893178213,0.32222222222222224,0.0031573790125024952
25,0.07,180,10,10,15,smtp,0.004123711340206186,0.12222222222222223,0.00797824116047144
