lr,precision,recall,fmeasure
0.0001,0.1540041067761807,0.7125890736342043,0.2532714225411566
0.001,0.15380736258194655,0.7244655581947743,0.25374376039933444
0.01,0.15142276422764228,0.7078384798099763,0.2494767685223943
0.1,0.15729166666666666,0.7173396674584323,0.25800939769329345
1,0.15045592705167174,0.7054631828978623,0.24801670146137786
2,0.1544461778471139,0.7054631828978623,0.25341296928327645
10,0.1544461778471139,0.7054631828978623,0.25341296928327645
0.0001,0.10443087592341325,0.7225174308653944,0.18248571901236652
0.001,0.104813445851669,0.7407657701899275,0.18364267112911728
0.01,Error,Error,Error
0.01,0.10557691528034921,0.7369778914020488,0.18469505315723458
