lr,window,dffw,precision,recall,fmeasure
0.0001,10,16,Error,Error,Error
0.0001,10,32,Error,Error,Error
0.0001,10,64,Error,Error,Error
0.0001,10,128,Error,Error,Error
0.001,10,16,Error,Error,Error
0.001,10,32,Error,Error,Error
0.001,10,64,Error,Error,Error
0.001,10,128,Error,Error,Error
0.01,10,16,Error,Error,Error
0.01,10,32,Error,Error,Error
0.01,10,64,Error,Error,Error
0.01,10,128,Error,Error,Error
0.1,10,16,Error,Error,Error
0.0001,10,16,Error,Error,Error
0.0001,10,32,Error,Error,Error
0.0001,10,64,Error,Error,Error
0.0001,10,128,Error,Error,Error
0.001,10,16,Error,Error,Error
0.001,10,32,Error,Error,Error
0.001,10,64,Error,Error,Error
0.001,10,128,Error,Error,Error
0.01,10,16,Error,Error,Error
0.01,10,32,Error,Error,Error
0.01,10,64,Error,Error,Error
0.01,10,128,Error,Error,Error
0.1,10,16,Error,Error,Error
0.1,10,32,Error,Error,Error
0.1,10,64,Error,Error,Error
0.1,10,128,Error,Error,Error
1,10,16,Error,Error,Error
1,10,32,Error,Error,Error
1,10,64,Error,Error,Error
1,10,128,Error,Error,Error
0.0001,10,16,0.20937217139775027,0.9780361757105942,0.344908402088897
0.0001,10,32,0.24623777979394104,0.9625322997416021,0.3921536783230066
0.0001,10,64,0.22195162385313677,0.9747139165743817,0.361570262144669
0.0001,10,128,0.2508575147310838,0.9719453672942046,0.39878839488828133
0.001,10,16,0.25765290929445633,0.9710225175341456,0.4072463258728466
0.001,10,32,0.2499698979088858,0.9691768180140274,0.397433757710165
0.001,10,64,0.2516392703896323,0.9776670358065707,0.40025731314371726
0.001,10,128,0.24064444249997777,0.9649317091177557,0.3852190554360289
0.01,10,16,0.247142395574417,0.9756367663344407,0.39438226484978955
0.01,10,32,0.20423518375443667,0.9756367663344407,0.3377643722013886
0.01,10,64,0.20479228355862822,0.9876338132152086,0.33924078729118956
0.01,10,128,0.2346966443862863,0.9710225175341454,0.37802455776816646
0.1,10,16,0.09960000000000162,1.0,0.18115678428519727
0.1,10,32,0.09960000000000162,1.0,0.18115678428519727
0.1,10,64,0.12722064539170638,0.9955703211517165,0.22561118242636205
0.1,10,128,0.09960000000000162,1.0,0.18115678428519727
1,10,16,0.09132339991951466,0.9957548911037284,0.16730298616575764
1,10,32,0.09132339991951466,0.9957548911037284,0.16730298616575764
1,10,64,0.09960000000000162,1.0,0.18115678428519727
1,10,128,0.09132339991951466,0.9957548911037284,0.16730298616575764
0.0001,10,16,0.20937217139775027,0.9780361757105942,0.344908402088897
0.0001,10,32,0.24623777979394104,0.9625322997416021,0.3921536783230066
0.0001,10,64,0.22195162385313677,0.9747139165743817,0.361570262144669
0.0001,10,128,0.2508575147310838,0.9719453672942046,0.39878839488828133
0.0001,20,16,0.11866125542131102,0.999077150239941,0.21212789738594007
0.0001,20,32,0.12727639142012892,0.9942783314876338,0.2256655970756055
0.0001,20,64,0.12184806423501598,0.9988925802879292,0.21720123720258744
0.0001,20,128,0.2560870045498077,0.9915097822074566,0.4070430010761829
0.0001,30,16,0.20950671995334558,0.9885566629752675,0.3457400783616368
0.0001,30,32,0.15708815376888932,0.9854189737910667,0.2709788736500443
0.0001,30,64,0.19164274938981163,0.978405315614618,0.32050697797834815
0.0001,30,128,0.23174898255645085,0.9726836471022516,0.3743147437463913
0.0001,50,16,0.21798174005563709,0.9702842377260982,0.3559880539253176
0.0001,50,32,0.19890067566378575,0.9809892949427833,0.3307417444742776
0.0001,50,64,0.19055286570983487,0.9867109634551494,0.3194196526823577
0.0001,50,128,0.23263672209406974,0.9715762273901808,0.3753892679884859
0.001,10,16,0.20629067054133954,0.9756367663344407,0.34057042158852724
0.001,10,32,0.24792674107215398,0.9745293466223699,0.3952892662883698
0.001,10,64,0.14153572817043214,0.9933554817275747,0.24776875565198545
0.001,10,128,0.25057877750812396,0.9677002583979329,0.3980781751913
0.001,20,16,0.1259467416975422,0.9928017718715393,0.2235357576831245
0.001,20,32,0.2518098661067447,0.9848652639350316,0.4010734658119734
0.001,20,64,0.13667424597697314,0.9988925802879292,0.24044888784202312
0.0001,10,16,0.11999684030094653,0.9198966408268735,0.212299994770544
0.0001,10,32,0.10115860417432762,0.9856035437430787,0.1834850044149643
