lr,batch,n_window,epoch,precision,recall,fmeasure
0.01,128,10,5,0.10032493907392363,0.988988988988989,0.1821701853046925
0.01,128,10,10,0.10060171012350892,0.953953953953954,0.18200916730328495
0.01,128,10,20,0.10037590165599919,0.988988988988989,0.18225419664268586
0.01,128,10,40,Error,Error,Error
0.01,128,10,5,Error,Error,Error
0.01,128,10,10,0.10060171012350892,0.953953953953954,0.18200916730328495
0.01,128,10,20,0.10037590165599919,0.988988988988989,0.18225419664268586
0.01,128,10,40,0.09929006085192697,0.97997997997998,0.18031126254719587
0.01,128,10,80,0.0996129557954777,0.978978978978979,0.18082647684200795
0.01,128,10,5,0.10032493907392363,0.988988988988989,0.1821701853046925
0.01,128,10,10,0.10060171012350892,0.953953953953954,0.18200916730328495
0.01,128,10,20,0.10037590165599919,0.988988988988989,0.18225419664268586
0.01,128,10,40,0.09929006085192697,0.97997997997998,0.18031126254719587
0.01,128,10,80,0.10014635166213673,0.958958958958959,0.18135352579271177
0.01,128,10,5,0.10032493907392363,0.988988988988989,0.1821701853046925
0.01,128,10,10,0.10060171012350892,0.953953953953954,0.18200916730328495
0.01,128,10,20,0.10037590165599919,0.988988988988989,0.18225419664268586
0.01,128,10,40,0.09929006085192697,0.97997997997998,0.18031126254719587
0.01,128,10,80,0.10014635166213673,0.958958958958959,0.18135352579271177
0.001,128,10,5,0.10220264317180616,0.928928928928929,0.18414525250520888
0.001,128,10,10,0.10063085063085063,0.98998998998999,0.18269141959915028
0.001,128,10,5,0.10220264317180616,0.928928928928929,0.18414525250520888
0.001,128,10,10,0.10063085063085063,0.98998998998999,0.18269141959915028
0.001,128,10,20,0.09991859991859992,0.982982982982983,0.181398355961947
0.001,128,10,40,0.10012087026591458,0.994994994994995,0.18193465727098013
0.001,128,10,80,0.09933238923730528,0.982982982982983,0.18043178686265504
0.01,128,10,5,0.10010111223458039,0.990990990990991,0.18183487923592617
0.01,128,10,10,0.099675522206449,0.983983983983984,0.18101463953595434
0.01,128,10,20,0.09949596774193549,0.987987987987988,0.18078578624416156
0.01,128,10,40,0.09982805704460403,0.987987987987988,0.18133382325923206
0.01,128,10,80,0.09871112929623568,0.965965965965966,0.17911832946635733
0.1,128,10,5,0.10059422750424449,0.948948948948949,0.18190540151587836
0.1,128,10,10,0.10070332480818414,0.9459459459459459,0.18202831551574686
0.1,128,10,20,0.09908350305498982,0.973973973973974,0.17986874942231262
0.1,128,10,40,0.0999083409715857,0.9819819819819819,0.18136439267886856
0.1,128,10,80,0.10075566750629723,0.960960960960961,0.18238814477058993
