lr,window,precision,recall,fmeasure
0.0001,10,0.06007068123342125,0.7983139534883722,0.11173374052701866
0.0001,30,0.048977877040270935,0.8769767441860465,0.09277443658531748
0.0001,50,0.05118850426964087,0.7747674418604651,0.09603220775023265
0.0001,80,0.0510879731294583,0.9071511627906976,0.0967284939463579
0.001,10,0.04775454368369569,0.9673255813953489,0.09101585301850604
0.001,30,0.049903525367881875,0.9712790697674419,0.09492964319668831
0.001,50,0.06200001169283921,0.8969767441860466,0.1159831420038367
0.001,80,0.060777506322060776,0.4898255813953488,0.10813734261236906
0.01,10,0.06987515164168433,0.8780232558139535,0.12944848870377854
0.01,30,0.05134070106697843,0.7954069767441861,0.09645553897514068
0.01,50,0.06477853312627922,0.8220348837209303,0.12009338815686398
0.01,80,0.07921031913171211,0.964186046511628,0.14639400128529165
0.1,10,0.0841152473220645,0.9404651162790697,0.15441923086549486
0.1,30,0.05657276388334176,0.9831395348837211,0.10698906002614489
0.1,50,0.0884415046571875,0.975639534883721,0.16218130999755975
0.1,80,0.06145654858927161,0.8923837209302325,0.11499372643021423
1,10,0.09632905239058505,1.0,0.1757301827960065
1,30,0.09632905239058505,1.0,0.1757301827960065
1,50,0.09632905239058505,1.0,0.1757301827960065
1,80,0.09632905239058505,1.0,0.1757301827960065
2,10,0.13089849794713654,0.993546511627907,0.23132077585876942
2,30,0.09632905239058505,1.0,0.1757301827960065
2,50,0.13089849794713654,0.993546511627907,0.23132077585876942
0.0001,10,0.06007068123342125,0.7983139534883722,0.11173374052701866
0.0001,30,0.048977877040270935,0.8769767441860465,0.09277443658531748
0.0001,50,0.05118850426964087,0.7747674418604651,0.09603220775023265
0.0001,80,0.0510879731294583,0.9071511627906976,0.0967284939463579
0.001,10,0.04775454368369569,0.9673255813953489,0.09101585301850604
0.001,30,0.049903525367881875,0.9712790697674419,0.09492964319668831
0.001,50,0.06200001169283921,0.8969767441860466,0.1159831420038367
0.001,80,0.060777506322060776,0.4898255813953488,0.10813734261236906
0.01,10,0.06987515164168433,0.8780232558139535,0.12944848870377854
0.01,30,0.05134070106697843,0.7954069767441861,0.09645553897514068
0.01,50,0.06477853312627922,0.8220348837209303,0.12009338815686398
0.01,80,0.07921031913171211,0.964186046511628,0.14639400128529165
0.1,10,0.0841152473220645,0.9404651162790697,0.15441923086549486
0.1,30,0.05657276388334176,0.9831395348837211,0.10698906002614489
0.1,50,0.0884415046571875,0.975639534883721,0.16218130999755975
0.1,80,0.06145654858927161,0.8923837209302325,0.11499372643021423
1,10,0.09632905239058505,1.0,0.1757301827960065
1,30,0.09632905239058505,1.0,0.1757301827960065
1,50,0.09632905239058505,1.0,0.1757301827960065
1,80,0.09632905239058505,1.0,0.1757301827960065
2,10,0.13089849794713654,0.993546511627907,0.23132077585876942
2,30,0.09632905239058505,1.0,0.1757301827960065
2,50,0.13089849794713654,0.993546511627907,0.23132077585876942
2,80,0.13089849794713654,0.993546511627907,0.23132077585876942
10,10,0.09632905239058505,1.0,0.1757301827960065
10,30,0.09632905239058505,1.0,0.1757301827960065
10,50,0.13089849794713654,0.993546511627907,0.23132077585876942
10,80,0.13089849794713654,0.993546511627907,0.23132077585876942
