lr,batch,n_window,epoch,lm,dsName,precision,recall,fmeasure
0.1,128,10,5,"(0.98, 1.3)",stock_pointg,0.09239130434782608,0.09289617486338798,0.09264305177111716
0.1,128,10,5,"(0.99, 1.3)",stock_pointg,0.08743169398907104,0.08743169398907104,0.08743169398907104
0.1,128,10,5,"(1.0, 1.3)",stock_pointg,0.0915,1.0,0.16765918460833715
0.1,128,10,5,"(0.98, 1.4)",stock_pointg,0.08743169398907104,0.08743169398907104,0.08743169398907104
0.1,128,10,5,"(0.98, 1.5)",stock_pointg,0.08743169398907104,0.08743169398907104,0.08743169398907104
0.1,128,10,5,"(0.98, 1.2)",stock_pointg,0.08699254349627175,0.5737704918032787,0.15107913669064751
0.1,128,10,5,"(1.0, 1.3)",stock_pointg,0.0915,1.0,0.16765918460833715
0.1,128,10,5,"(1.1, 1.3)",stock_pointg,0.09472551130247578,0.4808743169398907,0.15827338129496402
0.1,128,10,5,"(1.2, 1.3)",stock_pointg,0.09081836327345309,0.4972677595628415,0.15358649789029535
0.1,128,10,5,"(1.3, 1.3)",stock_pointg,0.09534368070953436,0.46994535519125685,0.15852534562211984
0.1,128,10,5,"(1.0, 1.2)",stock_pointg,0.0915,1.0,0.16765918460833715
0.1,128,10,5,"(1.0, 1.1)",stock_pointg,0.0915,1.0,0.16765918460833715
0.1,128,10,5,"(1.0, 1.0)",stock_pointg,0.09318063508589276,0.9781420765027322,0.17015209125475284
0.1,128,10,5,"(1.0, 0.9)",stock_pointg,0.0915,1.0,0.16765918460833715
0.1,128,10,5,"(1.0, 0.8)",stock_pointg,0.09127382146439318,0.994535519125683,0.1672025723472669
0.1,128,10,5,"(0.9, 1.1)",stock_pointg,0.10047095761381476,0.34972677595628415,0.15609756097560976
0.1,128,10,5,"(0.8, 1.0)",stock_pointg,0.09502262443438914,0.3442622950819672,0.14893617021276595
0.1,128,10,5,"(0.7, 1.0)",stock_pointg,0.09513274336283185,0.46994535519125685,0.15823367065317387
