lr,batch,n_window,epoch,lm,dsName,precision,recall,fmeasure
0.1,128,10,5,"(0.98, 1.3)",uni_pointg,0.10526315789473684,0.010582010582010581,0.019230769230769232
0.1,128,10,5,"(0.99, 1.3)",uni_pointg,0.3333333333333333,0.010582010582010581,0.020512820512820513
0.1,128,10,5,"(1.0, 1.3)",uni_pointg,0.09404702351175588,0.9947089947089947,0.17184643510054845
0.1,128,10,5,"(0.98, 1.4)",uni_pointg,0.25,0.015873015873015872,0.029850746268656716
0.1,128,10,5,"(0.98, 1.5)",uni_pointg,0.13333333333333333,0.010582010582010581,0.0196078431372549
0.1,128,10,5,"(0.98, 1.2)",uni_pointg,0.14814814814814814,0.021164021164021163,0.037037037037037035
0.1,128,10,5,"(1.0, 1.3)",uni_pointg,0.0945,1.0,0.1726815897670169
0.1,128,10,5,"(1.1, 1.3)",uni_pointg,0.09192200557103064,0.6984126984126984,0.1624615384615385
0.1,128,10,5,"(1.2, 1.3)",uni_pointg,0.09387755102040816,0.7301587301587301,0.16636528028933092
0.1,128,10,5,"(1.3, 1.3)",uni_pointg,0.09595300261096605,0.7777777777777778,0.17083091226031377
0.1,128,10,5,"(1.0, 1.2)",uni_pointg,0.0945,1.0,0.1726815897670169
0.1,128,10,5,"(1.0, 1.1)",uni_pointg,0.0945,1.0,0.1726815897670169
0.1,128,10,5,"(1.0, 1.0)",uni_pointg,0.0945,1.0,0.1726815897670169
0.1,128,10,5,"(1.0, 0.9)",uni_pointg,0.09404702351175588,0.9947089947089947,0.17184643510054845
0.1,128,10,5,"(1.0, 0.8)",uni_pointg,0.0945,1.0,0.1726815897670169
0.1,128,10,5,"(0.9, 1.1)",uni_pointg,0.14893617021276595,0.037037037037037035,0.05932203389830508
0.1,128,10,5,"(0.8, 1.0)",uni_pointg,0.11235955056179775,0.05291005291005291,0.07194244604316546
0.1,128,10,5,"(0.7, 1.0)",uni_pointg,0.09316770186335403,0.47619047619047616,0.15584415584415584
