lr,batch,n_window,epoch,lm,dsName,precision,recall,fmeasure
0.1,128,10,5,"(0.9, 1.1)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.8, 1.0)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.7, 1.0)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.6, 1.0)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.7, 1.1)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.6, 1.1)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.8, 1.1)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(1.0, 0.5)",yahoo,0.014184397163120567,1.0,0.027972027972027972
0.1,128,10,5,"(1.0, 0.4)",yahoo,0.014084507042253521,1.0,0.02777777777777778
0.1,128,10,5,"(1.1, 0.5)",yahoo,0.05405405405405406,1.0,0.10256410256410257
0.1,128,10,5,"(1.2, 0.5)",yahoo,0.0625,1.0,0.11764705882352941
0.1,128,10,5,"(0.8, 0.5)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(0.998, 0.5)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(1.5, 0.5)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(1.2, 0.5)",yahoo,0.0625,1.0,0.11764705882352941
0.1,128,10,5,"(1.3, 0.5)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(1.1, 0.5)",yahoo,0.05405405405405406,1.0,0.10256410256410257
0.1,128,10,5,"(1.2, 0.5)",yahoo,0.0625,1.0,0.11764705882352941
0.1,128,10,5,"(1.2, 0.4)",yahoo,0.05405405405405406,1.0,0.10256410256410257
0.1,128,10,5,"(1.2, 0.6)",yahoo,0.1,1.0,0.18181818181818182
0.1,128,10,5,"(1.2, 0.7)",yahoo,0.10526315789473684,1.0,0.1904761904761905
0.1,128,10,5,"(1.2, 0.8)",yahoo,0.125,1.0,0.2222222222222222
0.1,128,10,5,"(1.2, 0.9)",yahoo,0.13333333333333333,1.0,0.23529411764705882
0.1,128,10,5,"(1.2, 1.0)",yahoo,0.14285714285714285,1.0,0.25
0.1,128,10,5,"(1.2, 1.1)",yahoo,0.14285714285714285,1.0,0.25
0.1,128,10,5,"(1.2, 1.2)",yahoo,0.15384615384615385,1.0,0.2666666666666667
0.1,128,10,5,"(1.2, 1.4)",yahoo,0.15384615384615385,1.0,0.2666666666666667
0.1,128,10,5,"(1.2, 1.8)",yahoo,0.15384615384615385,1.0,0.2666666666666667
0.1,128,10,5,"(1.2, 3)",yahoo,0.16666666666666666,1.0,0.2857142857142857
0.1,128,10,5,"(1.2, 5)",yahoo,0.16666666666666666,1.0,0.2857142857142857
0.1,128,10,5,"(1.2, 2)",yahoo,0.15384615384615385,1.0,0.2666666666666667
0.1,128,10,5,"(1.2, 3)",yahoo,0.16666666666666666,1.0,0.2857142857142857
0.1,128,10,5,"(1.2, 4)",yahoo,0.16666666666666666,1.0,0.2857142857142857
0.1,128,10,5,"(1.3, 3)",yahoo,0.0,0.0,-1.0
0.1,128,10,5,"(1.1, 3)",yahoo,0.15384615384615385,1.0,0.2666666666666667
