lr,n_latent,n_window,epoch,precision,recall,fmeasure
0.01,8,8,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,8,8,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,8,16,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,8,16,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,8,32,5,0.08929384066072932,0.9440753045404208,0.16315584843391548
0.01,8,32,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,8,64,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,8,64,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,16,8,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,16,8,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,16,16,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,16,16,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,16,32,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,16,32,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,16,64,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,16,64,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,32,8,5,0.09473372040952874,0.9833887043189369,0.1728190944406004
0.01,32,8,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,32,16,5,0.09520784502716448,0.982281284606866,0.1735903996538674
0.01,32,16,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,32,32,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,32,32,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,32,64,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,32,64,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,64,8,5,0.09504910842743289,0.9844961240310077,0.17336092277729187
0.01,64,8,10,0.09883582388997994,0.9850498338870431,0.1796466466852029
0.01,64,16,5,0.09048267955139133,0.9739756367663345,0.16558267070006263
0.01,64,16,10,0.09911956974706644,1.0,0.18036175949423996
0.01,64,32,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,64,32,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
0.01,64,64,5,0.09681094712896417,0.9772978959025471,0.1761704794505518
0.01,64,64,10,0.09684576288715119,0.9772978959025471,0.1762281227882208
