lr,n_latent,n_window,epoch,dsName,precision,recall,fmeasure
0.01,5,5,5,uni_pointg,Error,Error,Error
0.01,5,5,10,uni_pointg,Error,Error,Error
0.01,5,5,50,uni_pointg,Error,Error,Error
0.01,5,5,100,uni_pointg,Error,Error,Error
0.01,5,5,200,uni_pointg,Error,Error,Error
0.01,5,5,400,uni_pointg,Error,Error,Error
0.01,5,5,800,uni_pointg,Error,Error,Error
0.01,5,5,5,uni_pointg,Error,Error,Error
0.01,5,5,5,uni_pointg,0.09832210095159605,0.8940568475452195,0.17716125025416918
0.01,5,5,10,uni_pointg,Error,Error,Error
0.01,5,5,5,uni_pointg,Error,Error,Error
0.01,5,5,5,uni_pointg,0.09832210095159605,0.8940568475452195,0.17716125025416918
0.01,5,5,10,uni_pointg,Error,Error,Error
0.01,5,5,5,uni_pointg,0.09832210095159605,0.8940568475452195,0.17716125025416918
0.01,5,5,10,uni_pointg,Error,Error,Error
