seed,TranAD,USAD,GDN,OmniAnomaly
0,0.17686296931579953,0.17600177108700463,0.17564054957296693,1.0
1,0.18220176448024553,0.18201181140478268,0.18272266335023438,0.9954841946813848
2,0.1833318086176928,0.18282446268794392,0.18495193901226384,0.9143950263032042
3,0.1748743718592965,0.1747626004382761,0.1745323331117653,0.9994783515910277
4,0.1757105943152455,0.17529734675205855,0.17505067256311038,0.9879644165358451
5,0.18223690798037448,0.1818181818181818,0.18037423846823328,0.9504752376188095
6,0.17792543373938724,0.17833442377792316,0.17821973353929332,0.9948717948717949
7,0.17426248972508906,0.17430334767159153,0.1749227455754284,1.0
8,0.1779809375607858,0.17894836930683655,0.1779692082111437,0.9984639016897081
9,0.17646503727470036,0.17853867318862732,0.17559028932490856,1.0
