dim,precision,recall,fmeasure
0,0.24888392857142858,0.6030219780219781,0.3523452009041045
1,0.23883928571428573,0.6108962401097233,0.3434151384734927
2,0.12053571428571429,0.44839703266669556,0.1899973482123922
3,0.18638392857142858,0.3828858407510093,0.2507203826350618
4,0.26674107142857145,0.6457292707292707,0.37753011702230355
5,0.14620535714285715,0.283615261143351,0.19294593503663418
6,0.25111607142857145,0.42696629213483145,0.31623915817505965
7,0.1796875,0.4066411116972915,0.24924018136038237
8,0.15959821428571427,0.4458874458874459,0.23506036498272437
9,0.35379464285714285,0.8184065934065934,0.49402416491065804
10,0.20758928571428573,0.4923756019261637,0.29204864790159857
11,0.21540178571428573,0.5601926163723917,0.311158743760726
12,0.2767857142857143,0.7142857142857143,0.398970398970399
13,0.3013392857142857,0.7060439560439561,0.42239888967347633
14,0.2935267857142857,0.6773830102481788,0.40957472779129683
15,0.16629464285714285,0.3647186147186147,0.22843403968809992
16,0.25,0.507724952949672,0.33503248835425053
17,0.23325892857142858,0.39856024125687045,0.29428589471893446
18,0.13616071428571427,0.5411036036036035,0.2175725229371418
